code,latitude,longitude,N,size
ABQHOLD,35.053,-106.629,12,3.5
ADACOID,43.607,-116.27,0,2.0
ADAMSWA,47.127,-118.383,0,2.0
ADDCOVT,44.012,-73.164,0,2.0
AGC,18.494,-67.142,26,3.5
AKFAIRB,64.835,-147.761,0,2.0
AKHIGHL,61.304,-149.58,0,2.0
ALAMCNC,36.069,-79.402,59,3.5
ALBCONY,42.751,-73.815,4,2.0
ALHAMCA,34.092,-118.127,0,2.0
ALLEGNY,42.212,-78.017,8,2.0
ALLEGPA,40.435,-79.994,13,3.5
ANCHOAK,61.218,-149.858,3,2.0
APACHAZ,34.502,-109.364,0,2.0
ARLCOVA,38.891,-77.083,32,3.5
ATLANGA,33.747,-84.395,214,6.0
ATLHOLD,33.753,-84.393,29,3.5
BALHOLD,39.255,-76.681,9,2.0
BANNOID,42.839,-112.41,0,2.0
BASILLA,30.487,-92.583,561,9.0
BEDCITX,32.841,-97.133,4,2.0
BEDFOOH,41.409,-81.497,13,3.5
BEFAMPA,40.38,-76.02,82,3.5
BENTOWA,46.221,-119.221,10,2.0
BERGENJ,40.874,-74.039,123,6.0
BERKSPA,40.383,-76.017,21,3.5
BESECPA,40.383,-76.017,2,2.0
BHCALCA,34.077,-118.073,0,2.0
BKLHOLD,35.374,-119.011,16,3.5
BLOUNTN,35.75,-83.991,0,2.0
BOEHOLD,31.792,-106.403,1,2.0
BONNEID,43.495,-112.041,0,2.0
BOONEKY,39.037,-84.724,91,3.5
BOPALM,41.128,-76.922,2,2.0
BOPCUM,39.597,-78.754,1,2.0
BOPGUA,18.423,-66.112,42,3.5
BOPHON,21.333,-157.929,59,3.5
BOPMAR,37.663,-88.984,1,2.0
BOPMEM,35.156,-89.867,1,2.0
BOPOAD,30.821,-92.641,526,9.0
BOPRCH,44.023,-92.44,1,2.0
BOPSPG,37.178,-93.323,6,2.0
BOPTHA,39.416,-87.451,2,2.0
BOTTIND,48.828,-100.45,0,2.0
BPC,42.366,-71.052,0,2.0
BRADEFL,27.495,-82.573,0,2.0
BRINDMA,41.665,-70.996,219,6.0
BROMMNY,42.131,-75.913,0,2.0
BTV,43.02,-78.203,526,9.0
BUTLEKS,37.814,-96.83,3,2.0
BUTLEOH,39.39,-84.553,150,6.0
BWDGICA,34.063,-118.239,3,2.0
CALDWMO,39.643,-94.047,33,3.5
CALHOMI,42.317,-85.176,215,6.0
CAMBRPA,40.484,-78.701,75,3.5
CARBOWY,41.796,-107.224,0,2.0
CARJAMN,44.787,-93.593,41,3.5
CARROMD,39.573,-76.986,10,2.0
