code,latitude,longitude,N,size
ABQHOLD,35.053,-106.629,4,2.0
ADACOID,43.607,-116.27,1,2.0
ADAMSWA,47.127,-118.383,0,2.0
ADDCOVT,44.012,-73.164,0,2.0
AGC,18.494,-67.142,27,3.5
AKFAIRB,64.835,-147.761,0,2.0
AKHIGHL,61.304,-149.58,0,2.0
ALAMCNC,36.069,-79.402,61,3.5
ALBCONY,42.751,-73.815,2,2.0
ALHAMCA,34.092,-118.127,14,3.5
ALLEGNY,42.212,-78.017,5,2.0
ALLEGPA,40.435,-79.994,7,2.0
ANCHOAK,61.218,-149.858,4,2.0
APACHAZ,34.502,-109.364,0,2.0
ARLCOVA,38.891,-77.083,52,3.5
ATLANGA,33.747,-84.395,199,6.0
ATLHOLD,33.753,-84.393,27,3.5
BALHOLD,39.255,-76.681,10,2.0
BANNOID,42.839,-112.41,0,2.0
BASILLA,30.487,-92.583,379,6.0
BEDCITX,32.841,-97.133,5,2.0
BEDFOOH,41.409,-81.497,18,3.5
BEFAMPA,40.38,-76.02,79,3.5
BENTOWA,46.221,-119.221,4,2.0
BERGENJ,40.874,-74.039,119,6.0
BERKSPA,40.383,-76.017,18,3.5
BESECPA,40.383,-76.017,3,2.0
BHCALCA,34.077,-118.073,0,2.0
BKLHOLD,35.374,-119.011,14,3.5
BLOUNTN,35.75,-83.991,0,2.0
BOEHOLD,31.792,-106.403,1,2.0
BONNEID,43.495,-112.041,0,2.0
BOONEKY,39.037,-84.724,92,3.5
BOPALM,41.128,-76.922,2,2.0
BOPCUM,39.597,-78.754,1,2.0
BOPGUA,18.423,-66.112,36,3.5
BOPHON,21.333,-157.929,57,3.5
BOPMAR,37.663,-88.984,1,2.0
BOPMEM,35.156,-89.867,1,2.0
BOPOAD,30.821,-92.641,578,9.0
BOPRCH,44.023,-92.44,1,2.0
BOPSPG,37.178,-93.323,7,2.0
BOPTHA,39.416,-87.451,2,2.0
BOTTIND,48.828,-100.45,0,2.0
BPC,42.366,-71.052,0,2.0
BRADEFL,27.495,-82.573,1,2.0
BRINDMA,41.665,-70.996,225,6.0
BROMMNY,42.131,-75.913,0,2.0
BTV,43.02,-78.203,496,6.0
BUTLEKS,37.814,-96.83,10,2.0
BUTLEOH,39.39,-84.553,146,6.0
BWDGICA,34.063,-118.239,3,2.0
CALDWMO,39.643,-94.047,30,3.5
CALHOMI,42.317,-85.176,210,6.0
CAMBRPA,40.484,-78.701,44,3.5
CARBOWY,41.796,-107.224,0,2.0
CARJAMN,44.787,-93.593,32,3.5
CARROMD,39.573,-76.986,8,2.0
CASCAMT,47.466,-111.38,1,2.0
CASPCAL,33.166,-115.485,0,2.0
CASSCNE,41.011,-95.883,27,3.5
CCADCAZ,33.064,-111.379,75,3.5
CCAFLAZ,33.044,-111.372,219,6.0
CCAHUTX,30.565,-97.42,191,6.0
CCASDCA,32.577,-116.915,692,9.0
CFREDVA,39.199,-78.146,0,2.0
CHACONY,42.255,-79.504,4,2.0
CHARLSC,32.859,-80.009,30,3.5
CHASEKS,38.375,-96.539,31,3.5
CHELAWA,47.423,-120.315,2,2.0
CHIPPMI,46.497,-84.346,38,3.5
CHRISMO,37.02,-93.206,13,3.5
CKHOSFL,25.731,-80.386,1,2.0
CLICONY,44.72,-73.468,3,2.0
CLINTPA,41.155,-77.337,93,3.5
COBBJGA,33.909,-84.581,23,3.5
COCONAZ,35.188,-111.64,1,2.0
COLCASC,34.076,-80.98,36,3.5
COLLIFL,26.126,-81.766,23,3.5
COLUMOR,45.849,-122.819,9,2.0
COLUMPA,40.998,-76.451,0,2.0
COMFTFL,25.733,-80.383,0,2.0
CONEJCO,37.086,-106.005,1,2.0
COSTACA,33.652,-117.912,4,2.0
