code,latitude,longitude,N,size,N_min,N_max
BOPATL,33.712,-84.369,128.0,6.0,58.133,241.267
BOPBER,44.521,-71.138,175.71,6.0,78.806,318.767
BOPBRO,40.66,-74.004,113.355,6.0,0.032,113.355
BOPBUT,36.14,-78.746,0.0,2.0,0.226,1.0
BOPCAA,41.567,-75.412,0.065,2.0,0.032,1.0
BOPCNV,36.159,-86.781,0.0,2.0,0.032,1.067
BOPCUM,39.597,-78.754,0.0,2.0,0.467,1.0
BOPDAL,33.201,-101.373,0.0,2.0,0.065,7.133
BOPDEV,42.526,-71.623,0.0,2.0,0.033,0.033
BOPFAI,39.385,-75.16,0.0,2.0,0.032,0.516
BOPGIL,38.917,-80.782,0.0,2.0,0.065,0.065
BOPGUA,38.795,-106.535,0.0,2.0,0.107,72.133
BOPHON,21.334,-157.928,79.0,3.5,2.367,95.933
BOPLAT,31.982,-106.591,0.0,2.0,0.033,0.033
BOPLEW,40.965,-76.884,27.871,3.5,27.871,27.871
BOPLEX,38.105,-84.56,0.0,2.0,0.032,0.29
BOPLOF,34.677,-120.498,0.0,2.0,0.033,3.276
BOPLOM,34.676,-120.506,0.0,2.0,0.032,0.71
BOPLOS,34.054,-118.24,0.0,2.0,0.032,0.161
BOPLTL,31.975,-106.605,0.0,2.0,58.167,102.355
BOPLVN,39.33,-94.936,69.742,3.5,38.821,80.129
BOPMAR,37.663,-88.984,0.0,2.0,0.933,1.0
BOPMCR,36.686,-84.388,0.0,2.0,0.032,1.0
BOPMEM,35.156,-89.867,0.0,2.0,0.107,1.033
BOPMIA,25.813,-80.219,0.0,2.0,0.033,0.133
BOPMIM,25.778,-80.193,444.742,6.0,0.032,448.774
BOPMRG,39.604,-79.95,0.0,2.0,0.032,0.065
BOPMVC,40.921,-78.242,0.0,2.0,1.581,459.968
BOPNEO,41.131,-80.632,0.0,2.0,7.677,7.677
BOPOAD,30.832,-92.637,0.0,2.0,0.032,773.067
BOPPET,37.298,-77.34,0.0,2.0,0.032,0.033
BOPPHL,39.953,-75.152,121.645,6.0,55.964,121.645
BOPPHX,33.872,-112.156,0.0,2.0,0.032,86.774
BOPPOL,31.468,-92.438,0.0,2.0,0.032,0.067
BOPRAE,32.054,-82.877,0.0,2.0,0.032,0.179
BOPRBK,44.3,-74.084,0.0,2.0,0.033,0.033
BOPRCH,44.024,-92.436,0.0,2.0,0.871,2.0
BOPSDC,32.714,-117.166,0.0,2.0,0.032,3.065
BOPSET,47.422,-122.301,0.032,2.0,0.032,179.267
BOPSHE,45.084,-123.382,0.0,2.0,0.032,118.833
BOPSPG,37.177,-93.325,0.0,2.0,0.032,8.5
BOPTCN,32.091,-110.857,0.0,2.0,0.032,0.067
BOPTCP,32.085,-110.865,0.0,2.0,0.032,0.871
BOPTHA,39.408,-87.455,0.0,2.0,0.567,2.067
BOPTRV,28.445,-98.322,0.0,2.0,0.032,0.129
BOPVIM,34.565,-117.367,0.0,2.0,0.033,701.484
BOSHOLD,42.483,-71.209,58.0,3.5,0.032,104.71
BOSSRLA,32.839,-93.746,0.0,2.0,0.065,300.633
BOTTIND,48.828,-100.45,0.0,2.0,0.032,0.933
BOURBKY,38.224,-84.246,0.226,2.0,0.226,11.633
BOWCOTX,33.421,-94.043,0.0,2.0,0.194,0.194
BPC,42.368,-71.052,0.226,2.0,0.032,1.806
BRADEFL,27.495,-82.573,0.0,2.0,0.032,1.0
BRANCMI,41.94,-85.0,0.0,2.0,0.034,0.034
BRCHOLD,40.272,-103.625,0.0,2.0,0.032,1.833
BRDFDFL,29.954,-82.109,0.032,2.0,0.032,0.3
BREMEIA,42.726,-92.466,0.0,2.0,0.065,3.355
