code,latitude,longitude,N,size
ECC,32.803,-115.57,470.516,6.0
ECOLOWA,47.479,-122.284,0.0,2.0
ECTORTX,31.774,-102.367,0.935,2.0
ELBERCO,39.342,-104.464,0.0,2.0
ELGPDIL,42.04,-88.284,4.452,2.0
ELPASCO,38.788,-104.779,145.032,6.0
ELZICDF,40.666,-74.19,272.871,6.0
EPC,31.796,-106.37,776.903,9.0
ERICONY,42.887,-78.878,0.0,2.0
ERICOPA,42.125,-80.066,11.968,3.5
ESSEXMA,42.597,-70.987,4.226,2.0
ESSEXNJ,40.731,-74.136,225.065,6.0
ESSEXNY,44.282,-73.539,0.0,2.0
ETOWAAL,34.016,-86.012,361.903,6.0
EULESTX,32.832,-97.094,31.516,3.5
FAULKAR,35.089,-92.443,0.645,2.0
FLATHMT,48.191,-114.311,0.0,2.0
FLO,33.065,-111.379,335.387,6.0
FORSYNC,36.097,-80.243,0.0,2.0
FRACOVT,44.811,-73.08,12.581,3.5
FRANKWA,46.214,-119.043,0.0,2.0
FREDEMD,39.365,-77.415,24.484,3.5
FREEBMN,43.646,-93.368,0.774,2.0
FREHOLD,36.733,-119.785,5.968,2.0
FREMOCO,38.447,-105.183,18.29,3.5
FSF,33.065,-111.379,218.032,6.0
GALLAMT,45.674,-111.06,0.129,2.0
GARVIOK,34.74,-97.222,22.903,3.5
GASTNNC,35.268,-81.182,2.839,2.0
GENESNY,42.999,-78.188,0.065,2.0
GFCORND,47.936,-97.056,34.484,3.5
GFJUVND,47.936,-97.056,0.0,2.0
GIJUVAZ,33.4,-110.769,0.032,2.0
GLADEFL,26.839,-81.124,455.065,6.0
GLEPDCA,34.147,-118.249,5.097,2.0
GOSHEWY,42.065,-104.182,0.0,2.0
GRANTWA,47.322,-119.553,0.097,2.0
GRAYSKY,37.491,-86.258,6.903,2.0
GREENMA,42.596,-72.612,79.419,3.5
GREENMO,37.218,-93.291,0.0,2.0
GUADATX,29.604,-97.97,0.032,2.0
GWINNGA,33.982,-83.977,0.0,2.0
HAILEID,43.665,-116.682,5.742,2.0
HALLJGA,34.243,-83.816,5.806,2.0
HARDJIA,42.36,-93.097,70.581,3.5
HARHOLD,41.651,-72.604,0.355,2.0
HASHENE,40.927,-98.328,74.677,3.5
HASKLTX,33.176,-99.722,589.032,9.0
HELHOLD,46.593,-111.974,0.387,2.0
HENDENC,35.315,-82.456,26.548,3.5
HERNAFL,28.484,-82.451,236.29,6.0
HICOJFL,27.958,-82.373,0.645,2.0
HILLCMT,48.553,-109.707,0.161,2.0
HMCHOTX,26.158,-97.675,1.0,2.0
HOUHOLD,29.952,-95.311,46.29,3.5
HOUICDF,29.951,-95.312,929.581,9.0
HOWARMD,39.169,-76.782,34.355,3.5
HRREGVA,36.804,-76.368,364.968,6.0
HSF,26.181,-97.685,119.032,6.0
HUDSONJ,40.73,-74.103,267.258,6.0
JACKSOR,42.322,-122.879,0.548,2.0
JAXHOLD,30.256,-81.59,5.29,2.0
JEFFECO,39.73,-105.204,3.323,2.0
JEFFEID,43.673,-111.911,0.161,2.0
JEFFEKS,39.207,-95.311,0.0,2.0
JEFFEMT,46.236,-112.121,1.613,2.0
JEFFENY,43.974,-75.928,0.097,2.0
JEFFETX,30.079,-94.094,7.258,2.0
JENADLA,31.707,-92.151,1019.194,12.0
JENNIMO,38.711,-90.267,0.129,2.0
JMHOSFL,25.847,-80.306,1.355,2.0
JOSEPOR,42.438,-123.319,6.742,2.0
KARNETX,28.883,-97.912,393.548,6.0
KENOSWI,42.593,-87.915,176.903,6.0
KERCOCA,35.653,-119.108,118.968,6.0
KITTIWA,46.997,-120.55,0.0,2.0
KLAMCOR,42.222,-121.749,0.742,2.0
KODIAAK,57.791,-152.406,0.0,2.0
KRHUBFL,25.754,-80.489,0.129,2.0
KRO,25.76,-80.497,667.387,9.0
LACKAPA,41.422,-75.648,106.355,6.0
LAKCOMT,47.692,-114.161,0.0,2.0
LANCACA,34.702,-118.233,1285.484,12.0
LANECOR,44.051,-123.09,7.355,2.0
LAPAZAZ,34.146,-114.29,0.0,2.0
LARCOWY,41.135,-104.82,1.032,2.0
LARIMCO,40.564,-105.032,0.581,2.0
LAWREPA,40.999,-80.338,0.194,2.0
LEWISMT,46.586,-112.037,0.129,2.0
LIMESTX,31.529,-96.512,0.0,2.0
LKLNDLA,31.34,-92.399,1.0,2.0
LONPDAR,34.542,-91.755,2.484,2.0
LOSCJCA,34.059,-118.231,1.032,2.0
LOSHOLD,34.054,-118.24,139.355,6.0
LRDICDF,27.529,-99.448,275.355,6.0
LSFHOLD,26.075,-97.512,1.0,2.0
LSHOSMA,42.3,-71.106,0.129,2.0
LUBBOTX,33.585,-101.843,5.258,2.0
LVGHOLD,36.058,-115.225,1.677,2.0
MABSHOS,41.947,-70.953,0.0,2.0
MACCOMI,42.613,-82.882,3.742,2.0
MADISID,43.827,-111.779,2.258,2.0
MADISNY,43.081,-75.707,1.71,2.0
MAHONOH,41.104,-80.655,30.097,3.5
MAPLEOH,41.415,-81.565,14.032,3.5
MARIOIN,39.766,-86.154,11.935,3.5
MATEWKS,42.613,-71.236,0.387,2.0
MATSHOS,41.901,-71.089,0.645,2.0
MCCDCTX,31.558,-97.134,0.0,2.0
MCFAJAZ,33.446,-112.078,1.871,2.0
MCHENIL,42.337,-88.443,366.903,6.0
MCMEDAZ,33.447,-112.059,0.065,2.0
MEADESD,44.415,-103.516,0.0,2.0
MECKLNC,35.315,-80.841,117.065,6.0
MESJACO,39.069,-108.574,6.581,2.0
MIAHOLD,25.92,-80.155,3.516,2.0
MIDBIMA,42.369,-71.079,0.194,2.0
MIDDLNJ,40.421,-74.489,144.452,6.0
MILLRAR,33.4,-94.023,16.387,3.5
MINICID,42.535,-113.792,0.645,2.0
MINNESD,43.578,-96.729,19.839,3.5
MISCOMO,36.923,-89.352,54.29,3.5
MISSOMT,46.883,-114.027,0.129,2.0
MNCOAKC,45.053,-92.831,0.0,2.0
MOFFECO,40.507,-107.559,9.903,2.0
MOHAVAZ,35.192,-114.051,0.0,2.0
MONCJAL,32.379,-86.308,0.935,2.0
MONMONJ,40.268,-74.287,134.065,6.0
MONROFL,24.572,-81.749,30.548,3.5
MONROMI,41.894,-83.394,83.387,3.5
MONRONY,43.152,-77.614,0.452,2.0
MONTGMO,38.98,-91.504,46.839,3.5
MONTGPA,40.159,-75.422,0.129,2.0
MONTGTX,30.336,-95.448,306.065,6.0
MORGACO,40.251,-103.79,0.581,2.0
MORGNMO,38.432,-92.84,43.194,3.5
MOUNTND,48.321,-102.391,0.065,2.0
MTPPDCA,34.059,-118.126,14.0,3.5
MUSSEMT,46.45,-108.542,0.258,2.0
NASSAFL,30.611,-81.631,1.129,2.0
NATROWY,42.862,-106.345,2.129,2.0
NAVSOAZ,34.872,-110.155,0.0,2.0
NGDCTGA,34.295,-83.824,0.839,2.0
NHSPCON,43.227,-71.558,0.258,2.0
NIAGANY,43.18,-78.736,0.29,2.0
NIOBRWY,42.761,-104.451,0.0,2.0
NOBLEMN,43.649,-95.593,0.0,2.0
NOJUVOR,45.61,-121.203,4.29,2.0
NOLVGNV,36.202,-115.12,154.71,6.0
NORCOOR,45.61,-121.203,18.29,3.5
NORFOMA,42.26,-71.209,51.161,3.5
NWREGVA,39.199,-78.146,0.0,2.0
NYCHOLD,40.64,-74.17,17.871,3.5
OAK,30.821,-92.641,1.0,2.0
OAKHOLD,30.832,-92.637,0.0,2.0
OKANOWA,48.366,-119.582,0.0,2.0
OMAHOLD,41.281,-95.899,0.226,2.0
ONECONY,43.156,-75.377,0.0,2.0
ONONDNY,43.046,-76.146,6.323,2.0
ONTARNY,42.883,-77.212,2.581,2.0
ORANGFL,28.504,-81.416,2.677,2.0
ORANGNY,41.405,-74.357,89.774,3.5
ORLHOLD,28.427,-81.334,1.0,2.0
ORPARLA,29.961,-90.094,65.548,3.5
OTERONM,32.852,-106.008,0.0,2.0
OTROPNM,32.079,-106.278,0.065,2.0
OTRPCNM,32.08,-106.283,859.903,9.0
PALMBFL,26.673,-80.092,23.032,3.5
PAMREVA,37.752,-77.359,40.903,3.5
PARKCWY,44.532,-109.061,0.0,2.0
PARKJCO,39.218,-105.98,109.645,6.0
PASADCA,34.149,-118.145,27.645,3.5
PEMBIND,48.791,-97.626,0.0,2.0
PENDOWA,48.179,-117.058,0.0,2.0
PENNISD,44.079,-103.221,0.581,2.0
PENOBME,44.801,-68.778,0.065,2.0
PERRYAL,32.634,-87.316,246.0,6.0
PHELPNE,40.439,-99.37,36.935,3.5
PHIHOLD,39.96,-75.165,5.484,2.0
PHOHOLD,33.471,-112.073,79.323,3.5
PIC,26.155,-97.338,696.581,9.0
PIKCOPA,41.389,-75.071,156.226,6.0
PINALAZ,33.041,-111.376,518.548,9.0
PINELFL,27.902,-82.706,5.065,2.0
PISCAME,45.183,-69.224,0.452,2.0
PLATTMO,39.19,-94.684,0.839,2.0
PLATTWY,42.055,-104.953,0.581,2.0
PLYMOMA,41.932,-70.651,313.71,6.0
PMHOSFL,25.885,-80.325,1.258,2.0
PMREGVA,37.321,-78.425,157.871,6.0
POLKCTX,30.698,-95.006,864.839,9.0
POLKJIA,41.654,-93.588,35.774,3.5
POMONCA,34.055,-117.754,6.484,2.0
PONDEMT,48.169,-111.947,0.258,2.0
POOHOLD,45.515,-122.676,6.194,2.0
POTTAIA,41.282,-95.867,42.71,3.5
PROWECO,38.086,-102.619,0.0,2.0
PUEBLCO,38.276,-104.611,0.71,2.0
PWILLVA,38.752,-77.478,0.0,2.0
RAADCMN,44.956,-93.089,84.0,3.5
REDETTX,31.396,-103.54,0.0,2.0
REHOSIL,41.865,-87.804,0.548,2.0
REJAITX,31.389,-103.527,6.613,2.0
RICECKS,38.347,-98.224,13.516,3.5
RNDLLTX,35.116,-101.866,98.484,3.5
ROCKIIL,41.509,-90.581,3.871,2.0
ROCKINH,43.012,-71.054,0.0,2.0
ROCKIVA,38.45,-78.87,0.0,2.0
RONKEVA,37.271,-79.947,0.0,2.0
ROSEBMT,46.266,-106.673,0.0,2.0
RSREGVA,37.295,-77.321,64.032,3.5
SAAHOLD,33.749,-117.875,38.774,3.5
SACHOLD,38.578,-121.5,15.194,3.5
SACITCA,33.75,-117.88,36.097,3.5
SACRACA,38.583,-121.497,43.645,3.5
SAJHOLD,18.407,-66.107,11.387,3.5
SANANCA,33.75,-117.881,145.806,6.0
SANJAIL,39.8,-89.643,2.677,2.0
SARJUNE,41.141,-96.039,0.097,2.0
SBDHOLD,34.101,-117.298,21.774,3.5
SBERNCA,34.102,-117.272,1.258,2.0
SCNORCA,37.352,-121.906,188.419,6.0
SDHOSCA,32.619,-117.023,4.677,2.0
SEAHOLD,47.491,-122.291,8.355,2.0
SEBASAR,35.383,-94.425,8.419,2.0
SENECOH,41.08,-83.154,113.774,6.0
SFRHOLD,37.796,-122.402,23.839,3.5
SHACOKS,39.048,-95.672,3.194,2.0
SHAJUKS,39.048,-95.67,0.0,2.0
SHERBMN,45.304,-93.619,167.097,6.0
SHERIMT,48.778,-104.558,0.0,2.0
SITKAAK,57.053,-135.334,0.0,2.0
SLRDCAZ,32.498,-114.778,0.258,2.0
SLSLCUT,40.726,-111.917,4.581,2.0
SMARYMD,38.302,-76.629,0.065,2.0
SNDCOCA,32.59,-116.921,0.0,2.0
SNDHOLD,32.717,-117.165,26.032,3.5
SNJHOLD,37.239,-121.774,4.548,2.0
SOLONOH,41.391,-81.44,2.871,2.0
SOMERME,44.789,-69.883,0.0,2.0
SOUTECO,37.133,-107.634,1.032,2.0
SPHOSCA,33.739,-118.307,0.774,2.0
SPMHOLD,44.86,-93.231,0.645,2.0
SRJDFID,42.543,-114.434,0.0,2.0
STCDFTX,28.895,-99.122,1526.355,15.0
STCLAMI,42.942,-82.481,31.613,3.5
STEUBNY,42.35,-77.296,0.0,2.0
STEVEWA,48.543,-117.904,0.0,2.0
STJOSCA,33.782,-117.864,0.0,2.0
STMRYIL,41.903,-87.683,0.0,2.0
STRAFNH,43.219,-70.939,27.29,3.5
STTCJVI,18.34,-64.928,0.032,2.0
STWRTGA,32.037,-84.772,1892.161,15.0
SUFFOMA,42.333,-71.071,264.742,6.0
SUMMIUT,40.721,-111.478,2.581,2.0
SUNNYWA,46.329,-120.023,0.0,2.0
SUSSENJ,41.055,-74.767,18.323,3.5
SWEETWY,41.537,-109.301,1.419,2.0
TELLECO,38.942,-105.154,48.516,3.5
TENSALA,31.809,-91.397,269.645,6.0
TETONWY,43.478,-110.76,0.903,2.0
TFALLID,42.558,-114.467,15.065,3.5
TGREETX,31.463,-100.44,0.0,2.0
TNWESDF,35.409,-89.55,14.452,3.5
TOOLEMT,48.507,-111.856,0.452,2.0
TOORANM,34.767,-106.018,92.484,3.5
TRICOIL,37.272,-89.175,190.742,6.0
TUCHOLD,32.135,-110.926,11.226,3.5
TULCOOK,36.157,-95.999,162.968,6.0
UMATCOR,45.674,-118.849,1.097,2.0
UTAHCUT,40.148,-111.657,94.742,3.5
VBHOSTX,26.175,-97.67,0.935,2.0
VENHOLD,34.206,-119.077,12.968,3.5
VIRBEVA,36.753,-76.06,7.129,2.0
VNBRNMI,42.233,-83.495,1.0,2.0
VRK,40.728,-74.006,251.903,6.0
VTDCORR,44.333,-72.752,2.226,2.0
VTSTALB,44.85,-73.132,1.645,2.0
WACLATX,29.424,-98.497,3.419,2.0
WAKECNC,35.778,-78.64,19.645,3.5
WAKULFL,30.196,-84.377,130.871,6.0
WASCONY,43.282,-73.587,2.71,2.0
WASHCUT,37.158,-113.412,11.0,3.5
WASHIAR,36.034,-94.177,15.452,3.5
WASHICO,40.158,-103.192,0.677,2.0
WASHIME,44.716,-67.459,0.0,2.0
WASHOLD,38.881,-77.229,0.968,2.0
WASHONV,39.573,-119.811,22.581,3.5
WASHTMI,42.256,-83.679,0.0,2.0
WAYNEMI,42.388,-83.045,26.355,3.5
WAYNENY,43.067,-77.031,6.742,2.0
WBATOLA,30.501,-91.216,9.613,2.0
WCCBXTX,29.428,-98.508,0.613,2.0
WCCPBFL,26.275,-80.152,587.065,9.0
WEBERUT,41.24,-111.993,87.806,3.5
WILLCTX,26.47,-97.762,1475.71,12.0
WILLITN,35.898,-86.885,0.548,2.0
WILLITX,30.64,-97.68,0.0,2.0
WMHOSCA,34.051,-118.217,0.097,2.0
