code,latitude,longitude,N,size
ABQHOLD,35.053,-106.629,13.533,3.5
ADACOID,43.607,-116.27,0.0,2.0
ADAMSCO,39.987,-104.799,0.0,2.0
ADAMSWA,47.127,-118.383,0.267,2.0
ADDCOVT,44.012,-73.164,0.0,2.0
AGAHOLD,13.477,144.748,0.033,2.0
AGC,18.494,-67.142,0.0,2.0
AIRHOPR,18.44,-66.005,0.0,2.0
AKCOOKI,61.219,-149.871,0.167,2.0
AKFAIRB,64.835,-147.761,0.0,2.0
AKHIGHL,61.304,-149.58,0.067,2.0
AKKETCH,55.348,-131.65,0.0,2.0
AKLEMON,58.361,-134.488,0.0,2.0
AKMATSU,61.601,-149.119,0.0,2.0
AKMCYOU,61.188,-149.832,0.0,2.0
AKWILPT,60.583,-151.3,0.0,2.0
ALAMCNC,36.069,-79.402,56.4,3.5
ALBCONY,42.751,-73.815,3.567,2.0
ALEXAVA,38.799,-77.067,0.0,2.0
ALHAMCA,34.092,-118.127,4.533,2.0
ALLEGNY,42.212,-78.017,20.9,3.5
ALLEGPA,40.435,-79.994,5.267,2.0
ALMHOLD,37.488,-105.86,0.2,2.0
ANCHOAK,61.218,-149.858,2.0,2.0
ANJUVMN,45.181,-93.122,0.0,2.0
APACHAZ,34.502,-109.364,0.0,2.0
ARLCOVA,38.891,-77.083,0.0,2.0
AROOSME,46.125,-67.838,0.0,2.0
ATLANGA,33.747,-84.395,183.733,6.0
ATLHOLD,33.753,-84.393,30.0,3.5
AURORCO,39.71,-104.79,0.0,2.0
AUSHOLD,30.27,-97.739,11.5,3.5
AZDCTUC,32.066,-110.859,0.0,2.0
BAKERFL,30.296,-82.122,272.967,6.0
BALHOLD,39.255,-76.681,7.6,2.0
BANNOID,42.839,-112.41,0.0,2.0
BARRECA,32.73,-116.695,0.0,2.0
BASILLA,30.487,-92.583,379.967,6.0
BEDCITX,32.841,-97.133,16.8,3.5
BEDFOOH,41.409,-81.497,74.033,3.5
BEDFOPA,40.008,-78.505,0.0,2.0
BEFAMPA,40.38,-76.02,52.833,3.5
BEJUVPA,40.383,-76.017,0.0,2.0
BENTOWA,46.221,-119.221,0.0,2.0
BERGENJ,40.874,-74.039,127.8,6.0
BERKSPA,40.383,-76.017,0.0,2.0
BERNANM,35.089,-106.651,0.0,2.0
BESECPA,40.383,-76.017,0.0,2.0
BHCALCA,34.077,-118.073,0.0,2.0
BIGHOMT,45.733,-107.609,0.367,2.0
BIGHOWY,44.383,-108.04,0.0,2.0
BKLHOLD,35.374,-119.011,15.1,3.5
BLOUNTN,35.75,-83.991,0.0,2.0
BOEHOLD,31.792,-106.403,1.0,2.0
BONNEID,43.495,-112.041,0.0,2.0
BOONEKY,39.037,-84.724,188.2,6.0
BOPALM,41.128,-76.922,0.0,2.0
BOPBUT,36.187,-78.741,0.0,2.0
BOPCAA,41.565,-75.42,0.0,2.0
BOPCUM,39.597,-78.754,0.0,2.0
BOPGUA,18.423,-66.112,37.733,3.5
BOPHON,21.333,-157.929,44.833,3.5
BOPLOF,34.677,-120.5,0.0,2.0
BOPLOS,34.054,-118.238,0.0,2.0
BOPMAR,37.663,-88.984,0.0,2.0
BOPMCR,36.688,-84.388,1.0,2.0
BOPMEM,35.156,-89.867,0.0,2.0
BOPMIM,25.778,-80.193,0.0,2.0
BOPOAD,30.821,-92.641,675.167,9.0
BOPRAE,32.052,-82.874,0.0,2.0
BOPRCH,44.023,-92.44,0.0,2.0
BOPSET,47.422,-122.302,0.0,2.0
BOPSPG,37.178,-93.323,3.833,2.0
BOPTHA,39.416,-87.451,1.0,2.0
BOSHOLD,42.483,-71.209,0.567,2.0
BOTTIND,48.828,-100.45,0.267,2.0
BOWCOTX,33.421,-94.043,0.0,2.0
BPC,42.366,-71.052,0.067,2.0
BRADEFL,27.495,-82.573,0.0,2.0
BRCHOLD,40.272,-103.625,0.867,2.0
BRINDMA,41.665,-70.996,220.6,6.0
BROADMT,46.321,-111.516,0.0,2.0
BROCRFL,26.121,-80.143,0.0,2.0
BROKSTX,27.248,-98.126,0.0,2.0
BROMMNY,42.131,-75.913,0.167,2.0
BSCORTX,32.223,-101.506,0.0,2.0
BTV,43.02,-78.203,541.733,9.0
BURNETX,30.742,-98.253,0.067,2.0
BUTLEKS,37.814,-96.83,14.067,3.5
BUTLEOH,39.39,-84.553,133.9,6.0
BWDGICA,34.063,-118.239,1.133,2.0
CAJUVMN,44.789,-93.593,0.067,2.0
CALDWMO,39.643,-94.047,37.367,3.5
CALHOMI,42.317,-85.176,183.2,6.0
CAMBRPA,40.484,-78.701,27.133,3.5
CAMCOWY,44.277,-105.51,0.0,2.0
CAMERTX,25.905,-97.491,0.0,2.0
CARBOWY,41.796,-107.224,0.0,2.0
CARJAMN,44.787,-93.593,37.933,3.5
CARROMD,39.573,-76.986,8.467,2.0
CASCAMT,47.466,-111.38,0.867,2.0
CASPCAL,33.166,-115.485,0.0,2.0
CASSCNE,41.011,-95.883,25.1,3.5
CATTANY,42.251,-78.8,0.0,2.0
CAYUGNY,42.98,-76.544,0.0,2.0
CBRRSNC,35.409,-80.578,2.767,2.0
CCADCAZ,33.064,-111.379,75.1,3.5
CCAFLAZ,33.044,-111.372,215.933,6.0
CCAHUTX,30.565,-97.42,509.3,9.0
CCASDCA,32.577,-116.915,695.433,9.0
CEMEDFL,25.788,-80.216,0.0,2.0
CFREDVA,39.199,-78.146,0.0,2.0
CGRMCAZ,32.881,-111.709,0.0,2.0
CHACONY,42.255,-79.504,0.0,2.0
CHAHOLD,18.322,-64.964,0.0,2.0
CHARLSC,32.859,-80.009,86.967,3.5
CHASEKS,38.375,-96.539,29.3,3.5
CHELAWA,47.423,-120.315,1.633,2.0
CHIPPMI,46.497,-84.346,37.3,3.5
CHRISMO,37.02,-93.206,19.333,3.5
CHYHOLD,41.137,-104.82,0.733,2.0
CITRUFL,28.846,-82.478,0.0,2.0
CKHOSFL,25.731,-80.386,0.633,2.0
CLARIPA,41.238,-79.423,0.0,2.0
CLARKWA,45.631,-122.678,0.0,2.0
CLICONY,44.72,-73.468,19.933,3.5
CLINTPA,41.155,-77.337,76.367,3.5
CMPJVNY,42.913,-78.868,0.167,2.0
COBBJGA,33.909,-84.581,14.4,3.5
COCHIAZ,31.433,-109.871,0.0,2.0
COCONAZ,35.188,-111.64,0.0,2.0
COLCASC,34.076,-80.98,0.3,2.0
COLLIFL,26.126,-81.766,8.467,2.0
COLOMNY,42.25,-73.756,0.0,2.0
COLUMOR,45.849,-122.819,0.067,2.0
COLUMPA,40.998,-76.451,0.0,2.0
COMFTFL,25.733,-80.383,0.067,2.0
CONCOCA,38.018,-122.133,0.0,2.0
CONEJCO,37.086,-106.005,0.5,2.0
CONVEWY,42.76,-105.381,0.0,2.0
CONWECA,37.994,-122.352,171.0,6.0
COSTACA,33.652,-117.912,0.0,2.0
COWJVWA,46.141,-122.918,0.0,2.0
CRGHOLD,40.514,-107.545,0.1,2.0
CRTOSCA,33.885,-118.102,0.0,2.0
CSCNWWA,47.25,-122.423,1302.233,12.0
CSPHOLD,42.852,-106.325,0.367,2.0
CSYJVNY,43.097,-79.054,0.0,2.0
CTLAFSL,41.761,-72.683,0.067,2.0
CTYORCI,41.323,-72.237,0.0,2.0
CUMBEME,43.651,-70.282,8.567,2.0
CUSTEMT,46.405,-105.854,0.0,2.0
CVREGVA,38.223,-78.124,0.0,2.0
DAKOTNE,42.415,-96.419,2.733,2.0
DALHOLD,32.824,-96.872,19.533,3.5
DAVIDTN,36.186,-86.785,26.133,3.5
DAWSOMT,47.105,-104.715,0.0,2.0
DCDOCDC,38.916,-77.025,0.0,2.0
DEAPDMI,42.323,-83.173,8.633,2.0
DEKALAL,34.429,-85.76,62.0,3.5
DEKALGA,33.747,-84.312,0.0,2.0
DELTACO,38.743,-108.064,0.0,2.0
DENCICO,39.737,-104.992,0.0,2.0
DENHOLD,39.784,-104.849,17.333,3.5
DENICDF,39.766,-104.865,438.5,6.0
DENVECO,39.767,-104.864,0.533,2.0
DEPCOGU,13.448,144.786,0.0,2.0
DEPYOGU,13.382,144.662,0.0,2.0
DETHOLD,42.409,-83.038,2.033,2.0
DOCORNE,41.253,-95.939,128.633,6.0
DODGEWI,43.407,-88.706,190.333,6.0
DORCHMD,38.548,-76.061,27.933,3.5
DOUGLCO,39.373,-104.86,0.333,2.0
DOUGLOR,43.212,-123.346,0.2,2.0
DRURYCO,39.776,-104.847,0.033,2.0
DUPAGIL,41.872,-88.145,0.0,2.0
DURHOLD,37.237,-107.874,0.167,2.0
DUTCHAK,53.871,-166.541,0.0,2.0
DUVALFL,30.326,-81.65,0.0,2.0
DVDHOLD,39.155,-75.488,1.467,2.0
EAGLECO,39.663,-106.82,6.167,2.0
EAZ,32.818,-111.519,1539.367,15.0
ECC,32.803,-115.57,481.5,6.0
ECOLOWA,47.479,-122.284,0.0,2.0
ECTORTX,31.774,-102.367,0.0,2.0
EDENDTX,31.217,-99.834,0.0,2.0
ELBERCO,39.342,-104.464,0.0,2.0
ELGPDIL,42.04,-88.284,2.1,2.0
ELMORID,43.137,-115.673,9.8,2.0
ELPASCO,38.788,-104.779,117.1,6.0
ELZICDF,40.666,-74.19,265.267,6.0
EMESACA,32.59,-116.922,0.0,2.0
EPC,31.796,-106.37,824.133,9.0
EPCJUVI,31.796,-106.37,0.0,2.0
