code,latitude,longitude,N,size
ADACOID,43.607,-116.27,10.194,3.5
ADAMSWA,47.127,-118.383,0.065,2.0
ADDCOVT,44.012,-73.164,0.0,2.0
AGC,18.494,-67.142,13.968,3.5
AIRHOPR,18.44,-66.005,0.0,2.0
AKCOOKI,61.219,-149.871,0.0,2.0
AKFAIRB,64.835,-147.761,0.0,2.0
AKHIGHL,61.304,-149.58,0.0,2.0
AKLEMON,58.361,-134.488,0.032,2.0
AKMATSU,61.601,-149.119,0.0,2.0
ALAMCNC,36.069,-79.402,77.645,3.5
ALBCONY,42.751,-73.815,10.258,3.5
ALHAMCA,34.092,-118.127,17.194,3.5
ALLEGNY,42.212,-78.017,12.645,3.5
ALLEGPA,40.435,-79.994,16.484,3.5
ANCHOAK,61.218,-149.858,6.516,2.0
ARLCOVA,38.891,-77.083,0.871,2.0
AROOSME,46.125,-67.838,0.0,2.0
ATLANGA,33.747,-84.395,181.806,6.0
ATLHOLD,33.753,-84.393,27.516,3.5
BALHOLD,39.255,-76.681,8.0,2.0
BANNOID,42.839,-112.41,5.065,2.0
BASILLA,30.487,-92.583,316.129,6.0
BEDCITX,32.841,-97.133,39.419,3.5
BEDFOOH,41.409,-81.497,19.806,3.5
BEDFOPA,40.008,-78.505,0.0,2.0
BEFAMPA,40.38,-76.02,82.71,3.5
BENTOWA,46.221,-119.221,9.0,2.0
BERGENJ,40.874,-74.039,117.452,6.0
BERKSPA,40.383,-76.017,32.548,3.5
BERNANM,35.089,-106.651,0.0,2.0
BESECPA,40.383,-76.017,5.806,2.0
BHCALCA,34.077,-118.073,3.645,2.0
BIGHOMT,45.733,-107.609,0.032,2.0
BKLHOLD,35.374,-119.011,11.032,3.5
BLOUNTN,35.75,-83.991,3.129,2.0
BOEHOLD,31.792,-106.403,1.0,2.0
BONNEID,43.495,-112.041,0.097,2.0
BOONEKY,39.037,-84.724,74.194,3.5
BOPALM,41.128,-76.922,2.0,2.0
BOPCUM,39.597,-78.754,1.0,2.0
BOPGUA,18.423,-66.112,51.065,3.5
BOPHON,21.333,-157.929,57.387,3.5
BOPLOS,34.054,-118.238,0.0,2.0
BOPMAR,37.663,-88.984,1.0,2.0
BOPMEM,35.156,-89.867,1.0,2.0
BOPMIM,25.778,-80.193,0.065,2.0
BOPOAD,30.821,-92.641,503.419,9.0
BOPRAE,32.052,-82.874,0.0,2.0
BOPRCH,44.023,-92.44,2.0,2.0
BOPSPG,37.178,-93.323,6.0,2.0
BOPTHA,39.416,-87.451,2.0,2.0
BOTTIND,48.828,-100.45,0.129,2.0
