detention_facility_code,name,state,start,end,place,type
OKCOJOK,Oklahoma County Jail,OK,123,135,"Oklahoma City, OK",Non-dedicated
OKMULOK,Okmulgee County Jail,OK,106,186,"Okmulgee, OK",Non-dedicated
OLDHAKY,Oldham County Jail,KY,76,197,"La Grange, KY",Federal
OMAHOLD,Omaha FO Hold,NE,0,197,"Omaha, NE",Hold
ONECONY,Oneida County Jail,NY,0,139,"Oriskany, NY",Non-dedicated
ONONDNY,Onondaga County Jail,NY,0,130,"Syracuse, NY",Federal
ONTARNY,Ontario County Jail,NY,0,80,"Canandaigua, NY",Federal
OGCMCCA,Orange Co Global Medical Center,CA,87,172,"Santa Ana, CA",Medical
OCIRCCA,Orange Count Intake Release Fac.,CA,24,143,"Santa Ana, CA",Non-dedicated
OCCWJCA,Orange County Central Women's Jail,CA,47,110,"Santa Ana, CA",Non-dedicated
ORANGNY,Orange County Jail,NY,0,197,"Goshen, NY",Non-dedicated
ORANGFL,Orange County Jail,FL,0,197,"Orlando, FL",Federal
OGRMCNY,Orange Regional Med Ctr,NY,128,196,"Middletown, NY",Medical
AAORDMD,Ordnance Road Correctional Center,MD,108,127,"Glen Burnie, MD",Non-dedicated
ORLHOLD,Orlando Hold Room,FL,0,197,"Orlando, FL",Hold
NYORLNC,Orleans Correctional,NY,132,133,"Albion, NY",Non-dedicated
ORLEANY,Orleans County Jail,NY,5,11,"Albion, NY",Non-dedicated
ORPARLA,Orleans Parish Sheriff,LA,0,106,"New Orleans, LA",Non-dedicated
OSAHOKS,Osawatamie State Hospital,KS,53,54,"Osawatamie, KS",Medical
OSCEOFL,Osceola County Jail,FL,195,197,"Kissimmee, FL",Other
CCASDCA,Otay Mesa Detention Center,CA,0,197,"San Diego, CA",Dedicated
OTRPCNM,Otero Co Processing Center,NM,0,197,"Chaparral, NM",Dedicated
OTERONM,Otero County Detention,NM,0,190,"Alamogordo, NM",Non-dedicated
OTEROCO,Otero County Jail,CO,65,94,"Lajunta, CO",Federal
OTROPNM,Otero County Prison Facility,NM,0,156,"Chaparral, NM",Federal
OKMHKTX,Otto Kaiser Memorial Hospital,TX,176,196,"Kenedy, TX",Medical
PMMCAHI,Pali Momi Medical Center,HI,175,176,"Aiea, HI",Medical
PALMBFL,Palm Beach County Jail,FL,0,176,"West Palm Beach, FL",Non-dedicated
PLRMCCA,Palmdale Regional Medical Center,CA,78,195,"Palmdale, CA",Medical
AKPALMC,Palmer Correctional Cente,AK,41,69,"Palmer, AK",Non-dedicated
PMHOSFL,Palmetto Hospital,FL,0,178,"Hialeah, FL",Medical
PLMBHTX,Palms Behavioral Health,TX,95,189,"Harlingen, TX",Medical
PWHOSFL,Palms West Hospital,FL,28,158,"Loxahatchee, FL",Medical
PLMVWTX,Palmview Police Dept.,TX,81,156,"Palmview, TX",Other
PAMSATX,Pam Health Specialty Hospital 1,TX,189,195,TX,Medical
PAMREVA,Pamunkey Reg Jail,VA,0,25,"Hanover, VA",Federal
PVLYHCA,Paradise Valley Hospital,CA,166,197,"National City, CA",Medical
PARKCMT,Park County Det Center,MT,4,13,"Livingston, MT",Non-dedicated
PARKJCO,Park County Jail,CO,0,94,"Fairplay, CO",Non-dedicated
PARKCWY,Park County Jail,WY,2,17,"Cody, WY",Non-dedicated
PKLDHTX,Parkland Hospital,TX,152,193,"Dallas, TX",Medical
PASADCA,Pasadena City Jail,CA,0,70,"Pasadena, CA",Non-dedicated
PASSANJ,Passaic County Jail,NJ,8,9,"Paterson, NJ",Non-dedicated
PAVHRPR,Pavia Hospital - Hato Rey,PR,60,130,"San Juan, PR",Medical
PDNHOLD,Pdn Hold Room,TX,44,185,"El Paso, TX",Hold
PBDPDMA,Peabody PD,MA,184,185,"Peabody, MA",Other
PTISATX,Pear Tree Inn SNA Airport,TX,143,177,"San Antonio, TX",Hotel
PECOSTX,Pecos Criminal Justice Center,TX,25,161,"Pecos, TX",Non-dedicated
PCSHOLD,Pecos Hold Room,TX,17,197,"Pecos, TX",Hold
PEMBIND,Pembina County Jail,ND,1,8,"Cavalier, ND",Non-dedicated
PENDOWA,Pend Orielle Correctional Facility,WA,2,7,"Newport, WA",Non-dedicated
PENDRNC,Pender County Jail,NC,97,98,"Burgaw, NC",Other
