code,latitude,longitude,N,size,N_min,N_max
ADACOID,43.607,-116.27,9.333,2.0,8.613,9.333
ADAMSWA,47.127,-118.383,0.833,2.0,0.452,0.833
ADDCOVT,44.012,-73.164,0.567,2.0,0.065,0.567
AGC,18.494,-67.142,28.267,3.5,28.267,48.387
AIRHOPR,18.44,-66.005,0.067,2.0,0.067,0.097
AKCOOKI,61.219,-149.871,0.0,2.0,0.097,0.097
AKFAIRB,64.835,-147.761,0.067,2.0,0.067,0.258
AKHIGHL,61.304,-149.58,0.533,2.0,0.484,0.533
AKLEMON,58.361,-134.488,0.3,2.0,0.3,0.3
AKMATSU,61.601,-149.119,0.0,2.0,0.129,0.129
ALAMCNC,36.069,-79.402,89.067,3.5,88.71,89.067
ALBCONY,42.751,-73.815,10.2,3.5,10.2,18.032
ALHAMCA,34.092,-118.127,13.467,3.5,13.467,19.387
ALLEGNY,42.212,-78.017,17.2,3.5,17.2,23.677
ALLEGPA,40.435,-79.994,9.233,2.0,9.233,14.581
ANCHOAK,61.218,-149.858,6.0,2.0,3.29,6.0
ARLCOVA,38.891,-77.083,1.667,2.0,1.667,39.452
AROOSME,46.125,-67.838,0.333,2.0,0.097,0.333
ATLANGA,33.747,-84.395,174.3,6.0,162.613,174.3
ATLHOLD,33.753,-84.393,28.7,3.5,28.7,31.484
BALHOLD,39.255,-76.681,8.767,2.0,8.767,9.323
BANNOID,42.839,-112.41,2.7,2.0,1.613,2.7
BASILLA,30.487,-92.583,315.1,6.0,315.1,538.677
BEDCITX,32.841,-97.133,44.367,3.5,39.0,44.367
BEDFOOH,41.409,-81.497,22.267,3.5,22.267,27.097
BEDFOPA,40.008,-78.505,0.0,2.0,0.226,0.226
BEFAMPA,40.38,-76.02,81.933,3.5,81.933,83.226
BENTOWA,46.221,-119.221,11.2,3.5,11.161,11.2
BERGENJ,40.874,-74.039,142.7,6.0,128.677,142.7
BERKSPA,40.383,-76.017,27.0,3.5,27.0,32.806
BERNANM,35.089,-106.651,0.0,2.0,0.194,0.194
BESECPA,40.383,-76.017,5.467,2.0,5.467,5.71
BHCALCA,34.077,-118.073,1.1,2.0,1.1,2.645
BIGHOMT,45.733,-107.609,0.2,2.0,0.2,0.2
BKLHOLD,35.374,-119.011,9.433,2.0,9.433,13.258
BLOUNTN,35.75,-83.991,4.733,2.0,4.452,4.733
BOEHOLD,31.792,-106.403,1.0,2.0,1.0,1.0
BONNEID,43.495,-112.041,0.0,2.0,0.871,0.871
BOONEKY,39.037,-84.724,33.3,3.5,33.3,48.935
BOPALM,41.128,-76.922,2.0,2.0,2.0,2.0
BOPCUM,39.597,-78.754,1.0,2.0,1.0,1.0
BOPGUA,18.423,-66.112,72.133,3.5,50.71,72.133
BOPHON,21.333,-157.929,55.333,3.5,55.333,70.871
BOPLOS,34.054,-118.238,0.0,2.0,0.032,0.032
BOPMAR,37.663,-88.984,1.0,2.0,1.0,1.0
BOPMEM,35.156,-89.867,1.0,2.0,1.0,1.0
BOPOAD,30.821,-92.641,585.2,9.0,466.194,585.2
BOPRAE,32.052,-82.874,0.033,2.0,0.032,0.033
BOPRCH,44.023,-92.44,2.0,2.0,2.0,2.0
BOPSPG,37.178,-93.323,5.833,2.0,5.833,6.0
BOPTHA,39.416,-87.451,2.0,2.0,2.0,2.065
BOTTIND,48.828,-100.45,0.933,2.0,0.161,0.933
BOWCOTX,33.421,-94.043,0.0,2.0,0.194,0.194
BPC,42.366,-71.052,1.167,2.0,1.167,1.806
BRADEFL,27.495,-82.573,1.0,2.0,1.0,1.0
BRINDMA,41.665,-70.996,185.167,6.0,185.167,188.548
BROMMNY,42.131,-75.913,0.333,2.0,0.333,0.548
BTV,43.02,-78.203,498.933,6.0,498.933,507.806
BUTLEKS,37.814,-96.83,0.0,2.0,0.968,0.968
BUTLEOH,39.39,-84.553,198.0,6.0,182.258,198.0
BWDGICA,34.063,-118.239,2.567,2.0,2.567,3.065
CAJUVMN,44.789,-93.593,0.067,2.0,0.065,0.067
CALDWMO,39.643,-94.047,60.433,3.5,60.355,60.433
CALHOMI,42.317,-85.176,195.6,6.0,195.6,203.097
CAMBRPA,40.484,-78.701,74.8,3.5,74.8,121.581
CAMCOWY,44.277,-105.51,0.2,2.0,0.2,0.2
CARBOWY,41.796,-107.224,0.033,2.0,0.033,0.033
CARJAMN,44.787,-93.593,42.267,3.5,42.267,43.065
CARROMD,39.573,-76.986,0.167,2.0,0.167,0.548
CASCAMT,47.466,-111.38,0.533,2.0,0.226,0.533
CASSCNE,41.011,-95.883,30.967,3.5,27.871,30.967
CATTANY,42.251,-78.8,0.4,2.0,0.355,0.4
CAYUGNY,42.98,-76.544,0.067,2.0,0.067,0.29
CCADCAZ,33.064,-111.379,62.767,3.5,62.767,73.742
CCAFLAZ,33.044,-111.372,195.267,6.0,195.267,214.677
CCAHUTX,30.565,-97.42,369.0,6.0,369.0,429.29
CCASDCA,32.577,-116.915,675.7,9.0,675.7,678.129
CFREDVA,39.199,-78.146,0.0,2.0,0.968,0.968
CHACONY,42.255,-79.504,7.733,2.0,7.71,7.733
CHARLSC,32.859,-80.009,1.0,2.0,1.0,1.0
CHASEKS,38.375,-96.539,39.067,3.5,39.067,46.548
CHELAWA,47.423,-120.315,5.567,2.0,2.935,5.567
CHIPPMI,46.497,-84.346,26.867,3.5,26.867,30.194
CHRISMO,37.02,-93.206,31.7,3.5,30.71,31.7
CKHOSFL,25.731,-80.386,2.033,2.0,0.774,2.033
CLARKWA,45.631,-122.678,0.033,2.0,0.033,0.033
CLICONY,44.72,-73.468,16.767,3.5,16.767,25.806
CLINTPA,41.155,-77.337,158.267,6.0,158.267,178.645
CMPJVNY,42.913,-78.868,0.2,2.0,0.065,0.2
COBBJGA,33.909,-84.581,28.3,3.5,28.3,29.581
COLCASC,34.076,-80.98,27.667,3.5,26.548,27.667
COLLIFL,26.126,-81.766,23.9,3.5,19.774,23.9
COLUMOR,45.849,-122.819,15.467,3.5,10.903,15.467
COLUMPA,40.998,-76.451,28.833,3.5,28.833,32.226
COMFTFL,25.733,-80.383,0.433,2.0,0.129,0.433
CONEJCO,37.086,-106.005,2.733,2.0,2.677,2.733
CONVEWY,42.76,-105.381,0.033,2.0,0.033,0.065
COSTACA,33.652,-117.912,1.767,2.0,1.767,2.613
COWJVWA,46.141,-122.918,0.533,2.0,0.129,0.533
CSCNWWA,47.25,-122.423,960.2,9.0,960.2,971.645
CTLAFSL,41.761,-72.683,1.033,2.0,1.033,2.258
CTYORCI,41.323,-72.237,0.2,2.0,0.2,0.2
CUMBEME,43.651,-70.282,24.633,3.5,24.633,35.097
CUSTEMT,46.405,-105.854,0.0,2.0,0.194,0.194
DALHOLD,32.824,-96.872,5.767,2.0,5.767,7.452
DAVIDTN,36.186,-86.785,44.733,3.5,44.733,51.194
DEAPDMI,42.323,-83.173,8.8,2.0,8.581,8.8
DEKALAL,34.429,-85.76,13.633,3.5,7.903,13.633
DELTACO,38.743,-108.064,0.067,2.0,0.067,0.067
DENCICO,39.737,-104.992,1.933,2.0,1.933,2.032
DENHOLD,39.784,-104.849,24.467,3.5,21.968,24.467
DENICDF,39.766,-104.865,392.6,6.0,392.6,399.452
DENVECO,39.767,-104.864,2.967,2.0,1.677,2.967
DEPCOGU,13.448,144.786,32.467,3.5,32.467,42.226
DETHOLD,42.409,-83.038,0.133,2.0,0.129,0.133
DOCORNE,41.253,-95.939,149.167,6.0,131.484,149.167
DODGEWI,43.407,-88.706,177.033,6.0,177.033,182.194
DORCHMD,38.548,-76.061,34.667,3.5,34.667,36.387
DOUGLCO,39.373,-104.86,1.167,2.0,1.167,1.806
DOUGLOR,43.212,-123.346,0.0,2.0,0.097,0.097
DRURYCO,39.776,-104.847,0.0,2.0,0.161,0.161
DUVALFL,30.326,-81.65,7.967,2.0,3.387,7.967
EAZ,32.818,-111.519,1491.267,12.0,1491.267,1495.613
ECC,32.803,-115.57,482.0,6.0,477.516,482.0
ECOLOWA,47.479,-122.284,0.067,2.0,0.067,0.067
ECTORTX,31.774,-102.367,0.567,2.0,0.258,0.567
ELGPDIL,42.04,-88.284,1.833,2.0,0.645,1.833
ELPASCO,38.788,-104.779,108.9,6.0,89.194,108.9
ELZICDF,40.666,-74.19,278.733,6.0,274.839,278.733
EPC,31.796,-106.37,770.333,9.0,770.333,790.677
ERICONY,42.887,-78.878,0.133,2.0,0.133,0.581
ERICOPA,42.125,-80.066,11.167,3.5,10.806,11.167
ESSEXMA,42.597,-70.987,13.433,3.5,13.433,21.613
ESSEXNJ,40.731,-74.136,221.467,6.0,221.467,241.581
ESSEXNY,44.282,-73.539,0.067,2.0,0.067,0.067
ETOWAAL,34.016,-86.012,373.7,6.0,345.29,373.7
EULESTX,32.832,-97.094,37.967,3.5,37.967,41.355
FAULKAR,35.089,-92.443,1.7,2.0,1.7,2.129
FLATHMT,48.191,-114.311,0.0,2.0,0.129,0.129
