code,latitude,longitude,N,size
ADACOID,43.607,-116.27,3.677,2.0
ADAMSWA,47.127,-118.383,0.355,2.0
ADDCOVT,44.012,-73.164,0.0,2.0
AGC,18.494,-67.142,41.129,3.5
AIRHOPR,18.44,-66.005,0.0,2.0
AKCOOKI,61.219,-149.871,0.0,2.0
AKFAIRB,64.835,-147.761,0.968,2.0
AKHIGHL,61.304,-149.58,1.032,2.0
AKLEMON,58.361,-134.488,0.0,2.0
AKMATSU,61.601,-149.119,0.0,2.0
AKWILPT,60.583,-151.3,0.0,2.0
ALAMCNC,36.069,-79.402,58.903,3.5
ALBCONY,42.751,-73.815,4.065,2.0
ALEXAVA,38.799,-77.067,0.0,2.0
ALHAMCA,34.092,-118.127,23.677,3.5
ALLEGNY,42.212,-78.017,12.613,3.5
ALLEGPA,40.435,-79.994,6.71,2.0
ANCHOAK,61.218,-149.858,1.613,2.0
APACHAZ,34.502,-109.364,0.0,2.0
ARLCOVA,38.891,-77.083,14.71,3.5
AROOSME,46.125,-67.838,0.0,2.0
ATLANGA,33.747,-84.395,186.742,6.0
ATLHOLD,33.753,-84.393,29.0,3.5
BALHOLD,39.255,-76.681,11.258,3.5
BANNOID,42.839,-112.41,0.194,2.0
BASILLA,30.487,-92.583,407.935,6.0
BEDCITX,32.841,-97.133,13.0,3.5
BEDFOOH,41.409,-81.497,20.129,3.5
BEDFOPA,40.008,-78.505,0.0,2.0
BEFAMPA,40.38,-76.02,71.774,3.5
BENTOWA,46.221,-119.221,8.097,2.0
BERGENJ,40.874,-74.039,135.484,6.0
BERKSPA,40.383,-76.017,24.387,3.5
BERNANM,35.089,-106.651,0.129,2.0
BESECPA,40.383,-76.017,2.29,2.0
BHCALCA,34.077,-118.073,0.484,2.0
BIGHOMT,45.733,-107.609,0.0,2.0
BKLHOLD,35.374,-119.011,8.839,2.0
BLOUNTN,35.75,-83.991,0.0,2.0
BOEHOLD,31.792,-106.403,1.0,2.0
