code,latitude,longitude,N,size
ABQHOLD,35.053,-106.629,10.2,3.5
ADACOID,43.607,-116.27,0.0,2.0
ADAMSWA,47.127,-118.383,0.133,2.0
ADDCOVT,44.012,-73.164,0.0,2.0
AGAHOLD,13.477,144.748,0.033,2.0
AGC,18.494,-67.142,37.9,3.5
AIRHOPR,18.44,-66.005,0.1,2.0
AKCOOKI,61.219,-149.871,0.367,2.0
AKFAIRB,64.835,-147.761,0.0,2.0
AKHIGHL,61.304,-149.58,0.0,2.0
AKLEMON,58.361,-134.488,0.0,2.0
AKMATSU,61.601,-149.119,0.0,2.0
AKWILPT,60.583,-151.3,0.0,2.0
ALAMCNC,36.069,-79.402,76.333,3.5
ALBCONY,42.751,-73.815,2.7,2.0
ALEXAVA,38.799,-77.067,0.0,2.0
ALHAMCA,34.092,-118.127,1.867,2.0
ALLEGNY,42.212,-78.017,8.8,2.0
ALLEGPA,40.435,-79.994,10.767,3.5
ANCHOAK,61.218,-149.858,4.4,2.0
ANJUVMN,45.181,-93.122,0.0,2.0
APACHAZ,34.502,-109.364,0.6,2.0
ARLCOVA,38.891,-77.083,1.867,2.0
AROOSME,46.125,-67.838,0.2,2.0
ATLANGA,33.747,-84.395,173.033,6.0
ATLHOLD,33.753,-84.393,33.3,3.5
AURORCO,39.71,-104.79,0.0,2.0
AZDCTUC,32.066,-110.859,0.0,2.0
BAKERFL,30.296,-82.122,43.4,3.5
BALHOLD,39.255,-76.681,7.633,2.0
BANNOID,42.839,-112.41,0.067,2.0
BARRECA,32.73,-116.695,0.033,2.0
BASILLA,30.487,-92.583,434.267,6.0
BEDCITX,32.841,-97.133,16.233,3.5
BEDFOOH,41.409,-81.497,31.967,3.5
BEDFOPA,40.008,-78.505,0.0,2.0
BEFAMPA,40.38,-76.02,72.6,3.5
BENTOWA,46.221,-119.221,4.4,2.0
BERGENJ,40.874,-74.039,127.2,6.0
BERKSPA,40.383,-76.017,26.167,3.5
BERNANM,35.089,-106.651,0.0,2.0
BESECPA,40.383,-76.017,3.633,2.0
BHCALCA,34.077,-118.073,0.0,2.0
BIGHOMT,45.733,-107.609,0.0,2.0
BIGHOWY,44.383,-108.04,0.0,2.0
BKLHOLD,35.374,-119.011,11.567,3.5
BLOUNTN,35.75,-83.991,0.0,2.0
BOEHOLD,31.792,-106.403,1.0,2.0
BONNEID,43.495,-112.041,0.0,2.0
BOONEKY,39.037,-84.724,94.2,3.5
BOPALM,41.128,-76.922,1.267,2.0
BOPCAA,41.565,-75.42,0.967,2.0
BOPCUM,39.597,-78.754,1.0,2.0
BOPGUA,18.423,-66.112,56.633,3.5
BOPHON,21.333,-157.929,61.933,3.5
BOPLOF,34.677,-120.5,0.0,2.0
BOPLOS,34.054,-118.238,0.0,2.0
BOPMAR,37.663,-88.984,1.0,2.0
BOPMEM,35.156,-89.867,1.0,2.0
BOPMIM,25.778,-80.193,0.0,2.0
BOPOAD,30.821,-92.641,692.7,9.0
BOPRAE,32.052,-82.874,0.0,2.0
BOPRCH,44.023,-92.44,1.0,2.0
BOPSET,47.422,-122.302,0.033,2.0
BOPSPG,37.178,-93.323,7.0,2.0
BOPTHA,39.416,-87.451,1.033,2.0
BOSHOLD,42.483,-71.209,0.1,2.0
BOTTIND,48.828,-100.45,0.133,2.0
BOWCOTX,33.421,-94.043,0.0,2.0
BPC,42.366,-71.052,0.033,2.0
BRADEFL,27.495,-82.573,0.0,2.0
BRINDMA,41.665,-70.996,239.7,6.0
BROADMT,46.321,-111.516,0.0,2.0
BROCRFL,26.121,-80.143,0.0,2.0
BROKSTX,27.248,-98.126,0.0,2.0
BROMMNY,42.131,-75.913,0.033,2.0
BTV,43.02,-78.203,574.067,9.0
BUTLEKS,37.814,-96.83,0.967,2.0
BUTLEOH,39.39,-84.553,94.267,3.5
BWDGICA,34.063,-118.239,3.267,2.0
CAJUVMN,44.789,-93.593,0.0,2.0
CALDWMO,39.643,-94.047,36.3,3.5
CALHOMI,42.317,-85.176,185.3,6.0
CAMBRPA,40.484,-78.701,31.167,3.5
CAMCOWY,44.277,-105.51,0.0,2.0
CARBOWY,41.796,-107.224,0.0,2.0
CARJAMN,44.787,-93.593,22.067,3.5
CARROMD,39.573,-76.986,12.067,3.5
CASCAMT,47.466,-111.38,1.067,2.0
CASPCAL,33.166,-115.485,0.0,2.0
CASSCNE,41.011,-95.883,31.733,3.5
CATTANY,42.251,-78.8,0.0,2.0
CAYUGNY,42.98,-76.544,0.0,2.0
CBRRSNC,35.409,-80.578,3.433,2.0
CCADCAZ,33.064,-111.379,76.767,3.5
CCAFLAZ,33.044,-111.372,218.233,6.0
CCAHUTX,30.565,-97.42,277.667,6.0
CCASDCA,32.577,-116.915,696.9,9.0
CEMEDFL,25.788,-80.216,0.0,2.0
CFREDVA,39.199,-78.146,0.0,2.0
CGRMCAZ,32.881,-111.709,0.067,2.0
CHACONY,42.255,-79.504,9.8,2.0
CHARLSC,32.859,-80.009,27.233,3.5
CHASEKS,38.375,-96.539,27.5,3.5
CHELAWA,47.423,-120.315,4.067,2.0
CHIPPMI,46.497,-84.346,46.3,3.5
CHRISMO,37.02,-93.206,18.467,3.5
CITRUFL,28.846,-82.478,0.0,2.0
CKHOSFL,25.731,-80.386,0.833,2.0
CLARIPA,41.238,-79.423,0.0,2.0
CLARKWA,45.631,-122.678,0.0,2.0
CLICONY,44.72,-73.468,5.767,2.0
CLINTPA,41.155,-77.337,90.267,3.5
CMPJVNY,42.913,-78.868,0.7,2.0
COBBJGA,33.909,-84.581,28.6,3.5
COCONAZ,35.188,-111.64,1.367,2.0
COLCASC,34.076,-80.98,26.8,3.5
COLLIFL,26.126,-81.766,21.933,3.5
COLOMNY,42.25,-73.756,0.0,2.0
COLUMOR,45.849,-122.819,16.067,3.5
COLUMPA,40.998,-76.451,18.333,3.5
COMFTFL,25.733,-80.383,0.6,2.0
CONEJCO,37.086,-106.005,3.333,2.0
CONVEWY,42.76,-105.381,0.0,2.0
COSTACA,33.652,-117.912,0.567,2.0
COWJVWA,46.141,-122.918,0.067,2.0
CSCNWWA,47.25,-122.423,952.667,9.0
CSYJVNY,43.097,-79.054,0.0,2.0
CTLAFSL,41.761,-72.683,1.7,2.0
CTYORCI,41.323,-72.237,0.0,2.0
CUMBEME,43.651,-70.282,34.733,3.5
CUSTEMT,46.405,-105.854,0.0,2.0
DALHOLD,32.824,-96.872,16.8,3.5
DAVIDTN,36.186,-86.785,16.1,3.5
DAWSOMT,47.105,-104.715,0.0,2.0
DEAPDMI,42.323,-83.173,9.433,2.0
DEKALAL,34.429,-85.76,39.267,3.5
DEKALGA,33.747,-84.312,0.0,2.0
DELTACO,38.743,-108.064,0.0,2.0
DENCICO,39.737,-104.992,0.0,2.0
DENHOLD,39.784,-104.849,25.2,3.5
DENICDF,39.766,-104.865,413.767,6.0
DENVECO,39.767,-104.864,2.467,2.0
DEPCOGU,13.448,144.786,30.433,3.5
DEPYOGU,13.382,144.662,0.0,2.0
DETHOLD,42.409,-83.038,0.0,2.0
DOCORNE,41.253,-95.939,73.833,3.5
DODGEWI,43.407,-88.706,145.033,6.0
DORCHMD,38.548,-76.061,29.133,3.5
DOUGLCO,39.373,-104.86,1.267,2.0
DOUGLOR,43.212,-123.346,0.0,2.0
DRURYCO,39.776,-104.847,0.0,2.0
DUPAGIL,41.872,-88.145,0.0,2.0
DUTCHAK,53.871,-166.541,0.0,2.0
DUVALFL,30.326,-81.65,0.8,2.0
DVDHOLD,39.155,-75.488,2.233,2.0
EAZ,32.818,-111.519,1549.733,15.0
ECC,32.803,-115.57,497.833,6.0
ECOLOWA,47.479,-122.284,0.0,2.0
ECTORTX,31.774,-102.367,0.7,2.0
EDENDTX,31.217,-99.834,0.0,2.0
ELBERCO,39.342,-104.464,0.0,2.0
ELGPDIL,42.04,-88.284,1.3,2.0
