Date,Midnight population,24-hour population,N
2008-10-01,,,3
2008-10-02,,,3
2008-10-03,,,18
2008-10-04,,,20
2008-10-05,,,21
2008-10-06,,,23
2008-10-07,,,23
2008-10-08,,,19
2008-10-09,,,19
2008-10-10,,,27
2008-10-11,,,25
2008-10-12,,,27
2008-10-13,,,28
2008-10-14,,,34
2008-10-15,,,39
2008-10-16,,,39
2008-10-17,,,50
2008-10-18,,,40
2008-10-19,,,40
2008-10-20,,,40
2008-10-21,,,41
2008-10-22,,,36
2008-10-23,,,36
2008-10-24,,,36
2008-10-25,,,35
2008-10-26,,,36
2008-10-27,,,37
2008-10-28,,,35
2008-10-29,,,37
2008-10-30,29.0,30.0,40
2008-10-31,30.0,31.0,37
2008-11-01,31.0,32.0,36
2008-11-02,32.0,33.0,36
2008-11-03,32.0,34.0,36
2008-11-04,33.0,34.0,36
2008-11-05,33.0,34.0,32
2008-11-06,33.0,35.0,28
2008-11-07,34.0,35.0,32
2008-11-08,34.0,35.0,32
2008-11-09,34.0,36.0,32
2008-11-10,35.0,36.0,34
2008-11-11,35.0,36.0,34
2008-11-12,35.0,36.0,36
2008-11-13,35.0,36.0,33
2008-11-14,35.0,36.0,33
2008-11-15,34.0,36.0,33
2008-11-16,34.0,35.0,33
2008-11-17,34.0,35.0,33
2008-11-18,34.0,35.0,31
2008-11-19,33.0,35.0,32
2008-11-20,33.0,34.0,31
2008-11-21,33.0,34.0,35
2008-11-22,33.0,34.0,30
2008-11-23,33.0,34.0,30
2008-11-24,32.0,34.0,30
2008-11-25,32.0,33.0,28
2008-11-26,32.0,33.0,29
2008-11-27,32.0,33.0,27
2008-11-28,31.0,33.0,27
2008-11-29,31.0,32.0,27
2008-11-30,31.0,32.0,27
2008-12-01,30.0,32.0,29
2008-12-02,30.0,31.0,26
2008-12-03,30.0,31.0,29
2008-12-04,30.0,31.0,28
2008-12-05,30.0,31.0,28
2008-12-06,30.0,31.0,27
2008-12-07,30.0,30.0,29
2008-12-08,29.0,30.0,29
2008-12-09,29.0,30.0,27
2008-12-10,29.0,30.0,29
2008-12-11,29.0,30.0,27
2008-12-12,29.0,29.0,27
2008-12-13,28.0,29.0,27
2008-12-14,28.0,29.0,27
2008-12-15,28.0,29.0,27
