code,latitude,longitude,N,size,N_min,N_max
CONEJCO,37.167,-106.0,2.903,2.0,2.677,2.903
CONVEWY,42.76,-105.381,0.0,2.0,0.033,0.065
COSTACA,33.652,-117.912,2.677,2.0,1.767,2.677
COWJVWA,46.141,-122.92,2.645,2.0,0.129,2.645
CSCNWWA,47.25,-122.422,909.129,9.0,909.129,971.645
CTLAFSL,41.761,-72.683,4.742,2.0,1.033,4.742
CTYORCI,41.323,-72.237,8.387,2.0,0.2,8.387
CUMBEME,43.651,-70.282,39.742,3.5,24.633,39.742
CUSTEMT,46.408,-105.845,0.0,2.0,0.194,0.194
DALHOLD,32.824,-96.872,5.323,2.0,5.323,7.452
DAVIDTN,36.157,-86.772,62.29,3.5,44.733,62.29
DEAPDMI,42.314,-83.2,9.419,2.0,8.581,9.419
DEKALAL,34.418,-85.773,8.871,2.0,7.903,13.633
DELTACO,38.74,-108.072,0.065,2.0,0.065,0.067
DENCICO,39.738,-104.991,1.226,2.0,1.226,2.032
DENHOLD,39.784,-104.849,25.258,3.5,21.968,25.258
DENICDF,39.761,-104.849,392.968,6.0,392.6,399.452
DENVECO,39.768,-104.864,4.935,2.0,1.677,4.935
DEPCOGU,13.45,144.803,33.516,3.5,32.467,42.226
DEPYOGU,13.466,144.801,0.032,2.0,0.032,0.032
DETHOLD,42.343,-83.01,0.0,2.0,0.129,0.133
DOCORNE,41.253,-95.938,154.581,6.0,131.484,154.581
DODGEWI,43.407,-88.706,178.226,6.0,177.033,182.194
DORCHMD,38.548,-76.059,29.774,3.5,29.774,36.387
DOUGLCO,39.367,-104.863,1.516,2.0,1.167,1.806
DOUGLOR,43.211,-123.341,0.194,2.0,0.097,0.194
DRURYCO,39.775,-104.846,0.0,2.0,0.161,0.161
DUTCHAK,53.871,-166.542,0.484,2.0,0.484,0.484
DUVALFL,30.326,-81.651,10.323,3.5,3.387,10.323
EAZ,32.818,-111.52,1484.387,12.0,1484.387,1495.613
ECC,32.803,-115.569,470.226,6.0,470.226,482.0
ECOLOWA,47.479,-122.284,0.0,2.0,0.067,0.067
ECTORTX,31.821,-102.36,0.355,2.0,0.258,0.567
ELBERCO,39.342,-104.464,0.065,2.0,0.065,0.065
ELGPDIL,42.04,-88.284,0.548,2.0,0.548,1.833
ELPASCO,38.788,-104.779,106.613,6.0,89.194,108.9
ELZICDF,40.666,-74.19,265.613,6.0,265.613,278.733
EPC,31.794,-106.369,775.71,9.0,770.333,790.677
ERICONY,42.884,-78.879,0.0,2.0,0.133,0.581
ERICOPA,42.124,-80.067,11.581,3.5,10.806,11.581
ESSEXMA,42.597,-70.986,7.419,2.0,7.419,21.613
ESSEXNJ,40.721,-74.127,224.581,6.0,221.467,241.581
ESSEXNY,44.282,-73.536,0.032,2.0,0.032,0.067
ETOWAAL,34.017,-86.012,364.194,6.0,345.29,373.7
EULESTX,32.829,-97.102,36.0,3.5,36.0,41.355
FAULKAR,35.089,-92.444,4.645,2.0,1.7,4.645
FLATHMT,48.189,-114.311,0.0,2.0,0.129,0.129
FLO,33.064,-111.382,420.613,6.0,420.613,444.129
FORSYNC,36.097,-80.242,0.0,2.0,0.433,1.484
FRACOVT,44.811,-73.081,15.968,3.5,15.839,18.167
FRANKWA,46.237,-119.096,0.323,2.0,0.323,0.323
FREDEMD,39.366,-77.413,31.935,3.5,31.935,37.548
FREHOLD,36.733,-119.786,7.516,2.0,6.806,7.516
FREMOCO,38.446,-105.182,1.645,2.0,1.258,4.1
FSF,33.064,-111.379,235.161,6.0,235.161,296.935
GALLAMT,45.673,-111.06,0.0,2.0,0.067,0.067
GARVIOK,34.74,-97.222,20.258,3.5,18.194,20.7
GASTNNC,35.268,-81.184,3.581,2.0,2.133,3.581
GENESNY,43.008,-78.225,0.323,2.0,0.323,1.903
GFCORND,47.936,-97.058,50.806,3.5,37.29,50.806
GFJUVND,47.936,-97.058,0.0,2.0,0.033,0.033
GIJUVAZ,33.395,-110.771,0.032,2.0,0.032,0.065
GLADEFL,26.839,-81.124,399.677,6.0,398.0,399.677
GLEPDCA,34.147,-118.249,9.097,2.0,5.1,20.71
GOSHEWY,42.065,-104.182,0.0,2.0,0.033,0.033
GRANTWA,47.322,-119.554,1.29,2.0,1.29,1.71
GRAYSKY,37.489,-86.271,2.839,2.0,0.6,2.839
GREENMA,42.596,-72.613,78.516,3.5,55.5,78.516
GREENMO,37.218,-93.291,0.0,2.0,0.133,0.133
GUADATX,29.603,-97.97,1.0,2.0,0.4,1.0
GWINNGA,33.982,-83.977,0.032,2.0,0.032,0.419
HAILEID,43.665,-116.682,8.806,2.0,7.29,8.806
HALLJGA,34.239,-83.813,9.355,2.0,8.839,11.033
HARDJIA,42.36,-93.097,65.355,3.5,65.355,82.645
HARHOLD,41.761,-72.684,0.226,2.0,0.097,0.226
HASHENE,40.928,-98.327,23.581,3.5,23.581,23.581
HASKLTX,33.177,-99.721,615.226,9.0,592.71,625.3
HENDENC,35.316,-82.456,20.194,3.5,6.129,20.194
HERNAFL,28.484,-82.451,237.613,6.0,213.2,241.355
HILLCMT,48.552,-109.707,0.161,2.0,0.129,0.467
HMCHOTX,26.157,-97.675,1.0,2.0,0.742,1.0
HOUHOLD,29.95,-95.313,45.355,3.5,41.533,50.71
HOUICDF,29.95,-95.312,913.903,9.0,900.633,963.968
HOWARMD,39.169,-76.782,37.968,3.5,36.167,38.0
HRREGVA,36.808,-76.364,342.742,6.0,278.2,342.742
HSF,26.181,-97.685,121.968,6.0,121.968,139.29
HUDSONJ,40.727,-74.106,299.742,6.0,299.742,339.6
JACKSOR,42.322,-122.878,1.065,2.0,0.935,1.467
JAXHOLD,30.257,-81.59,7.065,2.0,3.2,7.065
JEFFECO,39.731,-105.202,2.0,2.0,2.0,3.033
JEFFEID,43.679,-111.911,0.419,2.0,0.2,0.419
JEFFEKS,39.207,-95.312,0.0,2.0,3.2,3.2
JEFFEMT,46.235,-112.122,2.226,2.0,1.667,2.935
JEFFENY,43.973,-75.928,0.0,2.0,0.133,0.133
JEFFETX,30.079,-94.093,5.774,2.0,3.1,5.774
JENADLA,31.709,-92.151,969.677,9.0,969.677,1026.033
JENNIMO,38.711,-90.267,0.161,2.0,0.1,0.161
JMHOSFL,25.792,-80.213,1.065,2.0,1.065,1.387
JOSEPOR,42.433,-123.304,10.419,3.5,7.516,10.419
KARNETX,28.884,-97.912,323.387,6.0,280.533,323.387
KENOSWI,42.594,-87.912,157.935,6.0,148.387,164.367
KERCOCA,35.51,-119.111,119.677,6.0,104.484,119.733
KITTIWA,46.997,-120.549,0.129,2.0,0.129,0.167
KLAMCOR,42.223,-121.75,0.935,2.0,0.935,1.033
KODIAAK,57.805,-152.373,0.161,2.0,0.161,0.161
KRHUBFL,25.795,-80.279,0.161,2.0,0.161,0.355
KRO,25.754,-80.489,678.355,9.0,663.367,732.613
LACKAPA,41.423,-75.648,111.032,6.0,101.833,151.806
LAKCOMT,47.692,-114.161,0.0,2.0,0.194,0.194
LANCACA,34.702,-118.235,1144.581,12.0,880.161,1144.581
LANECOR,44.052,-123.09,7.742,2.0,6.097,7.833
LAPAZAZ,34.146,-114.29,0.097,2.0,0.097,0.097
LARCOWY,41.135,-104.82,0.71,2.0,0.233,0.71
LARIMCO,40.564,-105.033,0.677,2.0,0.677,0.9
LAWREPA,41.0,-80.337,0.129,2.0,0.129,0.129
LEWISMT,46.586,-112.037,0.0,2.0,0.161,0.161
LIMESTX,31.525,-96.511,0.0,2.0,17.387,17.387
LKLNDLA,31.309,-92.409,1.0,2.0,1.0,1.0
LONPDAR,34.784,-91.902,1.258,2.0,1.258,2.871
LOSCJCA,34.059,-118.231,1.0,2.0,1.0,1.323
LOSHOLD,34.054,-118.24,155.0,6.0,131.067,214.968
LRDICDF,27.529,-99.448,321.774,6.0,321.774,367.419
LSFHOLD,26.076,-97.512,1.0,2.0,1.0,1.0
LSHOSMA,42.3,-71.102,0.032,2.0,0.032,0.4
LUBBOTX,33.585,-101.844,2.548,2.0,2.548,4.467
LVGHOLD,36.076,-115.102,2.452,2.0,1.484,2.452
MABSHOS,41.947,-70.952,0.387,2.0,0.129,1.0
MACCOMI,42.617,-82.889,0.032,2.0,0.032,6.067
MADISID,43.823,-111.792,0.581,2.0,0.581,1.2
MADISNY,43.081,-75.703,3.516,2.0,3.516,11.323
MAHONOH,41.104,-80.655,35.516,3.5,35.516,46.194
MAPLEOH,41.415,-81.565,16.323,3.5,16.323,22.29
MARIOIN,39.766,-86.153,8.258,2.0,7.233,11.065
MATSHOS,41.901,-71.089,1.0,2.0,0.032,1.0
MCCDCTX,31.558,-97.134,0.032,2.0,0.032,0.065
MCFAJAZ,33.446,-112.078,2.613,2.0,1.29,2.613
MCHENIL,42.341,-88.44,354.097,6.0,328.613,355.767
MCMEDAZ,33.447,-112.06,0.065,2.0,0.065,0.467
MEADESD,44.414,-103.516,0.0,2.0,0.067,0.067
MECKLNC,35.263,-80.854,134.935,6.0,119.29,137.267
MESJACO,39.069,-108.574,2.71,2.0,1.645,2.71
MIAHOLD,25.92,-80.155,8.355,2.0,8.29,8.967
MIDDLNJ,40.421,-74.489,145.29,6.0,140.667,171.677
MILLRAR,33.401,-94.022,11.903,3.5,11.903,24.806
MINICID,42.535,-113.791,0.097,2.0,0.097,0.2
MINNESD,43.553,-96.73,14.355,3.5,11.167,15.452
MISCOMO,36.924,-89.352,54.032,3.5,49.935,54.032
MISSOMT,46.883,-114.027,0.387,2.0,0.387,0.516
MNCOAKC,45.025,-92.802,0.161,2.0,0.161,0.161
MOFFECO,40.512,-107.567,7.839,2.0,5.774,7.839
MOHAVAZ,35.193,-114.052,0.065,2.0,0.065,0.065
MONCJAL,32.352,-86.287,0.129,2.0,0.129,0.3
MONMONJ,40.268,-74.287,177.194,6.0,141.419,177.194
MONROFL,24.577,-81.751,45.258,3.5,45.258,47.167
MONROMI,41.896,-83.393,82.097,3.5,79.935,82.097
MONRONY,43.152,-77.614,1.548,2.0,1.387,1.548
MONTGMO,38.98,-91.505,53.71,3.5,39.4,53.71
MONTGPA,40.159,-75.423,0.387,2.0,0.167,0.581
MONTGTX,30.336,-95.453,292.323,6.0,230.129,292.323
MORGACO,40.252,-103.789,0.516,2.0,0.367,0.516
MORGNMO,38.432,-92.84,47.323,3.5,47.323,55.935
MOUNTND,48.321,-102.391,0.387,2.0,0.387,0.533
MTPPDCA,34.059,-118.126,13.806,3.5,12.133,16.29
NASSAFL,30.611,-81.631,1.194,2.0,1.194,15.419
NATROWY,42.863,-106.346,1.323,2.0,1.323,4.29
