detention_facility_code,name,state,type_detailed,start,end,place
STFRCTX,South Texas Fam Residential Center,TX,FAMILY,75,190,"Dilley, TX"
STCDFTX,South Texas ICE Processing Center,TX,CDF,0,196,"Pearsall, TX"
STDHOLD,South Texas/Pearsall Hold Room,TX,HOLD,29,196,"Pearsall, TX"
SOUTECO,Southern Ute Detention Center,CO,IGSA,0,14,"Ignacio, CO"
SPOHOLD,Spokane Hold Room,WA,HOLD,170,196,"Spokane, WA"
SPOTSVA,Spotsylvania Reg Med Ctr,VA,HOSPITAL,0,196,"Fredericksburg, VA"
SPRNGOR,Springfield City Jail,OR,IGSA,103,116,"Springfield, OR"
SPGHOLD,Springfield Dro Hold,MO,HOLD,0,196,"Strafford, MO"
BOPSPG,Springfield Fed.Med.Cntr,MO,BOP,0,98,"Springfield, MO"
STFRHGA,St Francis Hospital,GA,HOSPITAL,0,196,"Columbus, GA"
STJMCWA,St Joseph Medical Center,WA,HOSPITAL,184,186,"Tacoma, WA"
STLAWNY,St Lawrence County Jail,NY,IGSA,0,196,"Canton, NY"
SLBHSTX,St Luke's Baptist Hospital,TX,HOSPITAL,174,175,"San Antonio, TX"
SLHTWTX,St Luke's Health - The Woodlands,TX,HOSPITAL,184,186,"The Woodlands, TX"
STMARCA,St Mary Medical Center,CA,HOSPITAL,70,196,"Apple Valley, CA"
STMARAZ,St Mary's Hospital,AZ,HOSPITAL,0,196,"Tucson, AZ"
STTCJVI,St T Criminal Just Complx,VI,IGSA,5,61,"Charlotte Amalie, VI"
STTAMLA,St Tammany Parish Jail,LA,IGSA,43,138,"Covington, LA"
STCLAMI,St. Clair County Jail,MI,IGSA,0,196,"Port Huron, MI"
STCROWI,St. Croix County Jail,WI,IGSA,0,196,"Hudson, WI"
SGUHOLD,"St. George, UT Holdroom",UT,HOLD,105,196,"Saint George, UT"
STJONFL,St. John's County Jail,FL,UNKNOWN,185,196,"St. Augustine, FL"
STJOSCA,St. Joseph's Hospital,CA,HOSPITAL,10,12,"Orange, CA"
STJOSAZ,St. Joseph's Hospital & Med. Cen.,AZ,HOSPITAL,0,196,"Phoenix, AZ"
STLHOLD,St. Louis Holdroom,MO,HOLD,25,196,"St. Louis, MO"
STMRYIL,St. Mary of The Nazareth,IL,HOSPITAL,8,9,"Chicago, IL"
SMARYMD,St. Mary's Co Det Cntr,MD,IGSA,0,9,"Leonardtown, MD"
SSPBAAZ,Staybridge Ste Pho  B A ,AZ,HOTEL,143,145,"Phoenix, AZ"
ALESSAZ,Stes On Scottsdale Casa De Alegria,AZ,FAMILY STAGING,152,159,"Scottsdale, AZ"
STEUBNY,Steuben County Jail,NY,IGSA,45,46,"Bath, NY"
STEVEWA,Stevens County Jail,WA,IGSA,0,196,"Colville, WA"
STWRTGA,Stewart Detention Center,GA,DIGSA,0,196,"Lumpkin, GA"
STK,Stockton Staging Facility,CA,STAGING,8,196,"Stockton, CA"
STOPDIL,Stone Park Police Dept.,IL,IGSA,7,7,"Stone Park, IL"
STORYIA,Story County Jail,IA,USMS IGA,107,142,"Nevada, IA"
STRAFNH,Strafford Co Dept Of Corr,NH,IGSA,0,196,"Dover, NH"
STRMONY,Strong Memorial Hospital,NY,HOSPITAL,0,196,"Rochester, NY"
STUHOLD,Stuart Hold Room,FL,HOLD,90,196,"Stuart, FL"
STUTSND,"Stutsman Co. Jail, ND",ND,IGSA,41,41,"Jamestown, ND"
