detention_facility_code,name,state,type_detailed,start,end,place
ALAMOCO,Alamosa County Jail,CO,UNKNOWN,0,196,"Alamosa, CO"
ALMHOLD,Alamosa Holdroom,CO,HOLD,27,137,"Alamosa, CO"
ALBCONY,Albany County Jail,NY,USMS IGA,0,126,"Albany, NY"
ALBHOLD,Albany Holdroom,NY,HOLD,195,196,"Latham, NY"
ALBEMVA,Albemarle-Charlottesville,VA,IGSA,0,196,"Charlottesville, VA"
ABQHOLD,Albuquerque Hold Room,NM,HOLD,8,196,"Albuquerque, NM"
ALEXAVA,Alexandria City Jail,VA,USMS IGA,76,122,"Alexandria, VA"
ALEXAAL,Alexandria City Jail,VA,UNKNOWN,0,196,"Alexandria, VA"
JENATLA,Alexandria Staging Facility,LA,STAGING,74,196,"Alexandria, LA"
BHCALCA,Alhambra BHC Hospital,CA,HOSPITAL,0,5,"Rosemead, CA"
ALHAMCA,Alhambra City Jail,CA,USMS IGA,0,65,"Alhambra, CA"
ALLEGNY,Allegany County Jail,NY,IGSA,0,117,"Belmont, NY"
ALLEGPA,Allegheny Co. Jail,PA,USMS IGA,0,72,"Pittsburgh, PA"
ALLENIN,Allen County Jail,IN,USMS IGA,137,164,"Ft. Wayne, IN"
APPSCLA,Allen Parish Public Safety Complex,LA,IGSA,92,196,"Oberlin, LA"
BOPALM,Allenwood (Med) FCI,PA,BOP,0,18,"White Deer, PA"
APIBHCA,Alvarado Parkway Institute,CA,HOSPITAL,83,158,"La Mesa, CA"
AMTHOLD,Amarillo Hold Room,TX,HOLD,54,196,"Amarillo, TX"
AGMDCCA,Anaheim Global Medical Center,CA,HOSPITAL,82,191,"Anaheim, CA"
ANCHOAK,Anchorage Jail,AK,USMS IGA,0,196,"Anchorage, AK"
ANCHOLD,Anchorage Sub-Office Hold Room,AK,HOLD,0,196,"Anchorage, AK"
ANDERSC,Anderson County Det Center,SC,OTHER,0,196,"Anderson, SC"
ANDRWTX,Andrews Sherrif's Office Co Jail,TX,OTHER,0,196,"Andrews, TX"
AKPSYNJ,Anne Klein Phsychiatric Institute,NJ,HOSPITAL,0,196,"W. Trenton, NJ"
FIPCAGA,Annex Folkston IPC,GA,DIGSA,116,196,"Folkston, GA"
ANJUVMN,Anoka Co. Juvenile Center,MN,JUVENILE,0,196,"Lino Lakes, MN"
ANSGHTX,Anson General Hospital,TX,HOSPITAL,0,196,"Anson, TX"
APACHAZ,Apache Co. Jail,AZ,USMS IGA,4,60,"St Johns, AZ"
ARAPACO,Arapahoe County Jail,CO,IGSA,0,196,"Littleton, CO"
AZSVCPC,Arizona Service Prison Complex,AZ,UNKNOWN,84,84,"Phoenix, AZ"
AZSPFLO,Arizona State Prison Comp,AZ,UNKNOWN,0,196,"Florence, AZ"
ARLCOVA,Arlington Co Jail,VA,USMS IGA,0,23,"Arlington, VA"
AROOSME,Aroostook County Jail,ME,USMS IGA,20,20,"Houlton, ME"
ARRMCCA,Arrowhead Regional Med Center,CA,HOSPITAL,108,153,"Colton, CA"
ARTESNM,Artesia City Jail,NM,OTHER,0,196,"Artesia, NM"
AFRC,Artesia Family Residential Center,NM,FAMILY,69,160,"Artesia, NM"
ARTSINM,Artesia Law Enforcement Center,NM,UNKNOWN,0,196,"Artesia, NM"
ASWHRTX,Ascension Seton Williams Hosp,TX,HOSPITAL,0,196,"Round Rock, TX"
ASHECNC,Ashe County Jail,NC,UNKNOWN,0,196,"Jefferson, NC"
ATTHOLD,"Athens, TX Hold Room",TX,HOLD,125,191,"Athens, TX"
ATLHOLD,Atlanta Dist. Hold Rm,GA,HOLD,0,196,"Atlanta, GA"
ATLANGA,Atlanta Pretrial Detn Ctr,GA,USMS IGA,0,120,"Atlanta, GA"
BOPATL,Atlanta U.S. Pen.,GA,UNKNOWN,0,196,"Atlanta, GA"
ASHRSFL,Atlantic Shores Hospital,FL,HOSPITAL,26,103,"Fort Lauderdale, FL"
AURORCO,Aurora City Jail,CO,IGSA,138,139,"Aurora, CO"
AUSHOLD,Austin DRO Hold Room,TX,HOLD,20,196,"Austin, TX"
AVPARLA,Avoyelles Parish Prison,LA,IGSA,0,196,"Marksville, LA"
BIINCCO,"BI Incororated, GEO Group Company",CO,UNKNOWN,0,196,"Aurora, CO"
BSCORTX,BSCC Airpark Unit,TX,BOP,17,17,"Big Spring, TX"
BSCDRTX,BSCC Cedar Hill Unit,TX,BOP,29,29,"Big Spring, TX"
BSFLTTX,BSCC Flightline Unit,TX,BOP,0,196,"Big Spring, TX"
BSGDFTX,BSCC Giles Darby Facility,TX,BOP,0,196,"Post, TX"
BSNTRTX,BSCC Interstate Unit,TX,BOP,0,196,"Big Spring, TX"
FLBAKCI,Baker C. I.,FL,UNKNOWN,96,96,"Sanderson, FL"
CACFBAK,Baker CCF,CA,IGSA,0,196,"Baker, CA"
BAKERFL,Baker County Sheriff Dept.,FL,IGSA,12,196,"Macclenny, FL"
BKLHOLD,Bakerfield Hold,CA,HOLD,0,196,"Bakersfield, CA"
BALHOLD,Bal D D & P,MD,HOLD,0,196,"Baltimore, MD"
BALDWAL,Baldwin County Cor. Center,AL,IGSA,31,196,"Bay Minette, AL"
BIMDCAZ,Banner Ironwood Med Ctr,AZ,HOSPITAL,187,196,"Queen Creek, AZ"
BNMCTAZ,Banner Medical Ctr Tucson,AZ,HOSPITAL,179,184,"Tucson, AZ"
BANHOAZ,Banner University Medical Phoenix,AZ,HOSPITAL,195,196,"Phoenix, AZ"
BANNOID,Bannock County Jail,ID,USMS IGA,1,5,"Pocatello, ID"
BMCSATX,Baptist Medical Center,TX,HOSPITAL,174,175,"San Antonio, TX"
BARNSMA,Barnstable County,MA,IGSA,0,196,"Barnstable, MA"
BARRECA,Barrett Honor Camp,CA,JUVENILE,0,196,"Alpine, CA"
BARTOGA,Bartow Co Jail,GA,UNKNOWN,0,196,"Cartersville, GA"
BASILLA,Basile Detention Center,LA,DIGSA,0,196,"Basile, LA"
CMDHOLD,Batavia Command Center Holdroom,NY,HOLD,0,196,"Batavia, NY"
BAYCOFL,Bay County,FL,UNKNOWN,0,196,"Panama City, FL"
BAYAMPR,Bayamon Hospital,PR,HOSPITAL,156,156,"Bayamon, PR"
BSTAYTX,Baylor Scott White Md Ctr,TX,HOSPITAL,0,196,"Dallas, TX"
BSWRRTX,Baylor Scott White Med RR,TX,HOSPITAL,0,196,"Round Rock, TX"
BEAVRPA,Beaver County Jail,PA,USMS IGA,107,176,"Aliquippa, PA"
BEDCITX,Bedford City Jail,TX,IGSA,0,153,"Bedford, TX"
BEDFOPA,Bedford County Jail,PA,IGSA,4,4,"Bedford, PA"
BEDFOOH,Bedford Heights City,OH,IGSA,0,77,"Bedford Heights, OH"
BELCOTX,Bell County Jail,TX,IGSA,146,196,"Belton, TX"
BEHOSNY,"Bellevue Hospital, Manhat",NY,HOSPITAL,69,69,"New York, NY"
BLHHOLD,Bellingham BPS ERO Holdroom,WA,HOLD,93,119,"Ferndale, WA"
BELMOOH,Belmont County Jail,OH,OTHER,0,196,"St Clairsville, OH"
BENTOWA,Benton County,WA,IGSA,0,15,"Kennewick, WA"
BERGENJ,Bergen County Jail,NJ,USMS IGA,0,182,"Hackensack, NJ"
BEJUVPA,Berks Co. Juvenile,PA,JUVENILE,0,196,"Leesport, PA"
BEFAMPA,Berks County Family Shelter,PA,FAMILY,0,149,"Leesport, PA"
BERKSPA,"Berks County Jail, PA",PA,USMS IGA,0,15,"Leesport, PA"
BCORCPA,Berks County Residential Center,PA,DIGSA,160,172,"Leesport, PA"
BESECPA,Berks County Secured Juvenile,PA,JUVENILE,0,44,"Leesport, PA"
BRKHOLD,Berks Hold Room,PA,HOLD,95,137,"Leesport, PA"
BERNANM,Bernalillo County Det Ctr,NM,DIGSA,0,196,"Albuquerque, NM"
BWRGMTX,Best West Rose Grdn I&S,TX,HOTEL,143,148,"Mcallen, TX"
BWEPATX,Best Western Casa De Estrella,TX,FAMILY STAGING,151,160,"El Paso, TX"
BWDGICA,Best Western Dragon Gate Inn,CA,HOTEL,0,138,"Los Angeles, CA"
BWMARCA,Best Western Marina,CA,HOTEL,100,143,"National City, CA"
BIDHPMA,Beth Israel Deaconess Hosp,MA,HOSPITAL,193,193,"Boston, MA"
ISHOSNY,"Beth Israel Hospital, Manhattan",NY,HOSPITAL,0,196,"New York, NY"
WCCBXTX,Bexar County Wackenhut Annual Det.,TX,USMS IGA,1,36,"San Antonio, TX"
BIGHOMT,"Big Horn County Jail, MT",MT,IGSA,12,18,"Hardin, MT"
BIGHOWY,"Big Horn County Jail, WY",WY,IGSA,0,196,"Basin, WY"
BSCHOLD,Big Spring Hold Room,TX,HOLD,53,196,"Big Spring, TX"
BILHOLD,Billings Hold Room,MT,HOLD,0,196,"Billings, MT"
BHMHOLD,Birmingham Hold Room,AL,HOLD,33,192,"Homewood, AL"
BLKREOK,Blackwell Regional Hospital,OK,HOSPITAL,0,196,"Blackwell, OK"
BLOUNTN,Blount County Justice Ctr,TN,IGSA,0,5,"Maryville, TN"
BLBNATX,Bluebonnet Det Fclty,TX,IGSA,135,196,"Anson, TX"
BOIHOLD,Boise Hold Room,ID,HOLD,77,196,"Boise, ID"
BONNEID,Bonneville Co. Jail,ID,IGSA,1,1,"Idaho Falls, ID"
BOONEKY,Boone County Jail,KY,USMS IGA,0,196,"Burlington, KY"
BSQUETX,Bosque County Sheriff's Dept.,TX,UNKNOWN,0,196,"Meridian, TX"
BOSSRLA,Bossier Parish Cor. Center,LA,USMS IGA,117,136,"Plain Dealing, LA"
BOSHOLD,Boston Holdroom,MA,HOLD,14,196,"Burlington, MA"
BPC,Boston SPC,MA,OTHER,0,162,"Boston, MA"
BOTTIND,Bottineau Co. ND Jail,ND,IGSA,1,40,"Bottineau, ND"
BOWCOTX,Bowie County Jail,AR,IGSA,0,196,"Texarkana, AR"
BLGHOLD,Bowling Green Hold Room,VA,HOLD,0,196,"Bowling Green, VA"
BRADEFL,Bradenton Detention Center,FL,IGSA,0,8,"Bradenton, FL"
BRDFDFL,Bradford County Jail,FL,IGSA,0,196,"Starke, FL"
BRANCMI,"Branch Co, Coldwater, MI",MI,UNKNOWN,0,196,"Coldwater, MI"
BREMEIA,"Bremer Co Jail, Iowa",IA,USMS IGA,101,148,"Waverly, IA"
FLBREVC,Brevard Correctional,FL,OTHER,147,147,"Cocoa, FL"
BREVDFL,Brevard County Jail Complex,FL,UNKNOWN,0,196,"Cocoa, FL"
BRINDMA,Bristol Cnty Ndartmouth,MA,IGSA,0,153,"North Dartmouth, MA"
BSAHOLD,Broadview Service Staging,IL,STAGING,38,196,"Broadview, IL"
BROADMT,Broadwater County Jail,MT,IGSA,17,18,"Townsend, MT"
BBCHPMI,Bronson Battle Creek Hosp,MI,HOSPITAL,0,196,"Battle Creek, MI"
BHFLDMI,Bronson Hospital Fieldstone Center,MI,HOSPITAL,0,196,"Battle Creek, MI"
BROHOMI,Bronson Methodist Hospital,MI,HOSPITAL,194,195,"Kalamazoo, MI"
BXCHSNY,Bronxcare Health System,NY,HOSPITAL,129,130,"Bronx, NY"
BOPBRO,Brooklyn MDC,NY,BOP,0,196,"Brooklyn, NY"
BROKSTX,Brooks County Jail (Contract),TX,USMS IGA,43,132,"Falfurrias, TX"
BROMMNY,Broome County Jail,NY,IGSA,1,139,"Binghampton, NY"
BROCRFL,Broward Correctional,FL,IGSA,0,196,"Pembroke Pines, FL"
BROJAFL,Broward County Jail,FL,IGSA,166,196,"Ft.Lauderdale, FL"
BRGMCFL,Broward General Medical Center,FL,HOSPITAL,27,189,"Ft. Lauderdale, FL"
WCCPBFL,Broward Transitional Center,FL,CDF,0,196,"Pompano Beach, FL"
BROWNSD,Brown County Jail,SD,IGSA,0,196,"Aberdeen, SD"
BROWNWI,Brown County Jail,WI,UNKNOWN,92,92,"Green Bay, WI"
BRWNSTX,Brownsville Police Dept.,TX,OTHER,121,123,"Brownsville, TX"
BRCHOLD,Brush Holdroom,CO,HOLD,25,64,"Brush, CO"
NYBUFFC,"Buffalo CF, Alden,Ny",NY,IGSA,0,196,"Alden, NY"
BUFHOLD,Buffalo Hold Room,NY,HOLD,0,196,"Buffalo, NY"
BTV,Buffalo SPC,NY,SPC,0,196,"Batavia, NY"
BURLEND,"Burleigh Co. Jail, ND",ND,IGSA,40,42,"Bismarck, ND"
BURNETX,Burnet County Jail,TX,USMS IGA,50,185,"Burnet, TX"
BUTLEKS,Butler County Jail,KS,USMS IGA,0,144,"El Dorado, KS"
BUTLEOH,Butler County Jail,OH,IGSA,0,153,"Hamilton, OH"
BOPBUT,Butner Fed.Corr.Inst.,NC,BOP,17,19,"Butner, NC"
SILBOMT,Butte-Silver Bow County Jail,MT,IGSA,0,196,"Butte, MT"
MABSHOS,Bwater St Hosp Bridgewate,MA,HOSPITAL,1,80,"Bridgewater, MA"
BFGHITX,"Byrd's Foster Group Home, Inc",TX,JUVENILE,0,196,"Houston, TX"
CCADCAZ,CCA Cent.AZ.Det.Ctr.,AZ,USMS IGA,0,94,"Florence, AZ"
CCANOOH,CCA Northeast OH Corrects,OH,CDF,99,137,"Youngstown, OH"
CCAFLAZ,"CCA, Florence Correctional Center",AZ,USMS IGA,0,196,"Florence, AZ"
CACFLEO,CCF/Leo Chesney,CA,OTHER,0,196,"Live Oak, CA"
CADCCAL,CDC Calipatria IHP,CA,IGSA,65,75,"Calipatria, CA"
CBRRSNC,Cabarrus County Jail,NC,IGSA,9,195,"Concord, NC"
CACHEUT,Cache Co. Jail,UT,USMS IGA,99,170,"Logan, UT"
CALDWMO,Caldwell County Jail,MO,IGSA,0,136,"Kingston, MO"
CALHOMI,"Calhoun Co., Battle Cr,MI",MI,IGSA,0,196,"Battle Creek, MI"
CAMENCE,"Calif. Men Colony, East",CA,OTHER,0,196,"San Luis Obispo, CA"
CAMENCW,"Calif. Men Colony, West",CA,OTHER,0,196,"San Luis Obispo, CA"
CACTYCA,California City Corections Center,CA,USMS IGA,30,62,"California City, CA"
CASPCAL,Calipatria State Prison,CA,OTHER,5,6,"Calipatria, CA"
CAMBRPA,"Cambria County Jail, PA",PA,USMS IGA,0,154,"Ebensburg, PA"
CAMERTX,Cameron County Jail,TX,IGSA,38,130,"Brownsville, TX"
CAMCOWY,Campbell County Jail,WY,IGSA,0,196,"Gillette, WY"
CARBOPA,Carbon County Correctionl,PA,IGSA,0,196,"Nesquehoning, PA"
CARBOWY,Carbon County Jail,WY,IGSA,2,3,"Rawlins, WY"
CARDFVA,Caroline Detention Facility,VA,DIGSA,120,196,"Bowling Green, VA"
CARROMD,Carroll County Detention Center,MD,IGSA,1,55,"Westminster, MD"
CAJUVMN,Carver Co. Juvy Detention,MN,JUVENILE,28,30,"Chaska, MN"
CARJAMN,Carver County Jail,MN,IGSA,0,168,"Chaska, MN"
CGRMCAZ,Casa Grande Reg. Med. Center,AZ,HOSPITAL,173,196,"Casa Grande, AZ"
CASSJCA,Casa San Juan,CA,JUVENILE,0,196,"San Diego, CA"
CASCAMT,"Cascade County Jail, MT",MT,USMS IGA,1,181,"Great Falls, MT"
CSYJVNY,Casey House Shelter,NY,JUVENILE,0,196,"Buffalo, NY"
CSPHOLD,Casper Holdroom,WY,HOLD,25,196,"Casper, WY"
CASSCND,Cass County Jail,ND,IGSA,0,196,"Fargo, ND"
CASSCNE,Cass County Jail,NE,USMS IGA,0,142,"Plattsmouth, NE"
CATAHLA,Catahoula Correctional Center,LA,IGSA,129,145,"Harrisonburg, LA"
CATTANY,Cattaraugus County Jail,NY,IGSA,2,10,"Little Valley, NY"
CAYUGNY,Cayuga County Jail,NY,IGSA,31,31,"Auburn, NY"
CCHRTTX,Cedar Crest Hosp Treat,TX,HOSPITAL,0,196,"Belton, TX"
CRIHOLD,Cedar Rapids Hold Room,IA,HOLD,28,31,"Cedar Rapids, IA"
CEMEDFL,Cedars Medical Center,FL,HOSPITAL,93,94,"Miami, FL"
CNTGRIL,Centegra Hospital,IL,HOSPITAL,0,196,"Woodstock, IL"
CENTRVA,Centra Health,VA,HOSPITAL,0,196,"Lynchburg, VA"
CSSCHVA,Centra Southside Comm Hosp,VA,HOSPITAL,182,183,"Farmville, VA"
CCRMHMN,Centracare Rice Memorial Hosp,MN,HOSPITAL,0,196,"Willmar, MN"
CAMEDAZ,Central Arizona Medical,AZ,HOSPITAL,43,43,"Florence, AZ"
CIPHOLD,Central Islip Hold Room,NY,HOLD,137,196,"Central Islip, NY"
CENTRWV,Central Regional Jail,WV,IGSA,0,196,"Sutton, WV"
WACLATX,Central Texas Detention Facility,TX,USMS IGA,0,134,"San Antonio, TX"
CVREGVA,Central VA Regional Jail,VA,IGSA,120,174,"Orange County, VA"
CVANXCA,Central Valley Annex,CA,UNKNOWN,0,196,"McFarland, CA"
CMEDHPR,Centro Medico Hospital,PR,HOSPITAL,72,72,"San Juan, PR"
CRTOSCA,Cerritos  College Hosp,CA,HOSPITAL,0,196,"Cerritos, CA"
CHMHOLD,Champlain Hold Room,NY,HOLD,0,196,"Champlain, NY"
CHANRAZ,Chandler Reg Med Ctr,AZ,HOSPITAL,181,181,"Chandler, AZ"
CHARLSC,Charleston County Correct,SC,USMS IGA,0,147,"North Charleston, SC"
CHLHOLD,"Charleston, SC Hold Room",SC,HOLD,136,196,"Charleston, SC"
CHAHOLD,Charlotte Amalie Holdroom,VI,HOLD,45,196,"St. Thomas, VI"
FLCHACI,"Charlotte CI, Punta Gorda",FL,UNKNOWN,0,196,"Punta Gorda, FL"
CHRLTFL,Charlotte County Jail,FL,IGSA,0,196,"Punta Gorda, FL"
CLTHOLD,Charlotte Hold Room,NC,HOLD,30,196,"Charlotte, NC"
CHASEKS,Chase County Jail,KS,IGSA,0,196,"Cottonwood Falls, KS"
CSHEPTX,Chase Ste Hotel Elp,TX,HOTEL,143,144,"El Paso, TX"
CHATHGA,Chatham Co Jail,GA,IGSA,0,196,"Savannah, GA"
CNGHOLD,Chattanooga Hold Room,TN,HOLD,154,196,"Chattanooga, TN"
CHACONY,Chautauqua County Jail,NY,IGSA,0,166,"Mayville, NY"
CHAVENM,Chavez Det Crt,NM,IGSA,111,196,"Roswell, NM"
CHELAWA,Chelan Co. Regional Jail,WA,USMS IGA,0,41,"Wenatchee, WA"
CHEMUNY,Chemung County Jail,NY,IGSA,0,196,"Elmira, NY"
CHENANY,Chenango County Jail,NY,UNKNOWN,0,196,"Norwich, NY"
CHEROOK,Cherokee County Jail,OK,OTHER,0,196,"Tahlequah, OK"
CHFLDVA,Chesterfield Co. Jail,VA,UNKNOWN,0,196,"Chesterfield, VA"
CHYHOLD,Cheyenne Holdroom,WY,HOLD,25,137,"Cheyenne, WY"
CHIHMIA,Chi Health Mercy Council Bluffs,IA,HOSPITAL,0,196,"Council Bluffs, IA"
CSLLFTX,Chi St Luke's H M Lufkin,TX,HOSPITAL,0,196,"Lufkin, TX"
CHISLTX,Chi St Luke's Health Mem,TX,HOSPITAL,0,196,"Lufkin, TX"
CHIHOLD,Chicago Hold Room,IL,HOLD,31,194,"Chicago, IL"
CHIPPMI,"Chippewa Co., SSM",MI,IGSA,0,196,"Sault Sainte Marie, MI"
VTCHTDN,Chittenden Reg. Cor. Facility,VT,IGSA,40,196,"South Burlington, VT"
CHRISMO,Christian Co Sheriff Dept,MO,IGSA,0,153,"Ozark, MO"
CHSRHTX,Christus Santa Rosa Hospital - Med,TX,HOSPITAL,0,196,"Irving, TX"
CCCSSTX,Christus Spohn Hosp CC - South,TX,HOSPITAL,0,196,"Corpus Christi, TX"
CIBOCNM,Cibola County Correctional Center,NM,IGSA,99,196,"Milan, NM"
CIBOLNM,Cibola County Det Ctr,NM,IGSA,111,165,"Grants, NM"
CIBOGNM,Cibola General Hospital,NM,HOSPITAL,0,196,"Grants, NM"
CINHOLD,Cincinnati Holdroom,OH,HOLD,0,196,"Cincinnati, OH"
CITRUFL,Citrus County Jail,FL,IGSA,0,196,"Lecanto, FL"
CLARIPA,Clarion  County Corrections,PA,IGSA,0,196,"Shippenville, PA"
CLARKWA,Clark County Jail,WA,IGSA,0,196,"Vancouver, WA"
CFREDVA,Clarke Fred'k Winch.,VA,IGSA,0,1,"Winchester, VA"
CLAYCIN,Clay County Justice Center,IN,USMS IGA,58,196,"Brazil, IN"
CLEHOLD,Cleveland Hold Room,OH,HOLD,49,120,"Cleveland, OH"
CLINTPA,Clinton County Corr. Fac.,PA,USMS IGA,0,196,"Mcelhattan, PA"
CLICONY,Clinton County Jail,NY,USMS IGA,0,196,"Plattsburgh, NY"
CBENDTX,Coastal Bend Det. Facility,TX,USMS IGA,45,196,"Robstown, TX"
COBBJGA,Cobb County Jail,GA,IGSA,0,196,"Marietta, GA"
COCHIAZ,Cochise Co Jail Bisbee AZ,AZ,IGSA,0,196,"Bisbee, AZ"
COCONAZ,Coconino Co Detention Facility,AZ,USMS IGA,3,130,"Flagstaff, AZ"
COLLIFL,Collier County Sheriff,FL,IGSA,0,196,"Naples, FL"
CSDHOLD,Colo Springs Den HSI Hold,CO,HOLD,0,196,"Colorado Springs, CO"
COLOMNY,Colombia County Jail,NY,IGSA,0,196,"Hudson, NY"
COLCASC,Columbia Care Center,SC,HOSPITAL,0,196,"Columbia, SC"
COLUMOR,Columbia County Jail,OR,USMS IGA,0,67,"Saint Helens, OR"
COLUMPA,Columbia County Jail,PA,USMS IGA,0,24,"Bloomsburg, PA"
COLUMFL,Columbia County Jail,FL,UNKNOWN,0,196,"Lake City, FL"
CKHOSFL,Columbia Kendal Hospital,FL,HOSPITAL,0,194,"Miami, FL"
COAHOLD,"Columbia, SC Holdroom",SC,HOLD,70,196,"Columbia, SC"
CLMHOLD,Columbus Holdroom,OH,HOLD,196,196,"Columbus, OH"
CISAETX,Comfort Inn Ste Elp Airp,TX,HOTEL,151,151,"El Paso, TX"
CSANOLA,Comfort Suites Alexandria,LA,HOTEL,0,196,"Alexandria, LA"
CISEPTX,Comfort Suites Casa Consuelo,TX,FAMILY STAGING,151,160,"El Paso, TX"
COMFTFL,Comfort Suites Hotel,FL,HOTEL,2,131,"Miami, FL"
CWHCCMP,Commonwealth Healthcare Corp,MP,HOSPITAL,0,196,"Fananganan, Saipan, MP"
CRMCFCA,Community Reg Med Center,CA,HOSPITAL,0,196,"Fresno, CA"
CMPJVNY,Compass House Shelter,NY,JUVENILE,4,19,"Buffalo, NY"
CONCOLA,Concordia Parish C C,LA,IGSA,0,196,"Ferriday, LA"
CONEJCO,Conejos County Jail,CO,IGSA,0,67,"Antonito, CO"
CONHOTX,Connally Memorial Medical Center,TX,HOSPITAL,0,196,"Floresville, TX"
CONWECA,Contra Costa Co Jail/West,CA,USMS IGA,19,119,"Richmond, CA"
CONCOCA,Contra Costa Co. Jail,CA,USMS IGA,19,118,"Martinez, CA"
CONVEWY,Converse County Jail,WY,IGSA,0,196,"Douglas, WY"
CCHHSIL,Cook County Hospital-JHS,IL,HOSPITAL,0,196,"Chicago, IL"
AKCOOKI,"Cook Inlet Pretrial, Anch",AK,IGSA,10,39,"Anchorage, AK"
COOSCOR,Coos Co. Jail,OR,IGSA,45,126,"Coquille, OR"
COOCONH,Coos County Jail,NH,USMS IGA,130,134,"West Stewartstown, NH"
CRPHOLD,Corpus Christi EOR Hold Room,TX,HOLD,195,196,"Corpus Christi, TX"
COSTACA,Costa Mesa College Hosp,CA,HOSPITAL,0,34,"Costa Mesa, CA"
CISPVLA,County Inn & Ste By Rad,LA,HOTEL,145,145,"Pineville, LA"
CHMCINY,Courthouse USM Cntl Islip,NY,OTHER,0,196,"Central Islip, NY"
COWJVWA,Cowlitz Co. Juv. Det.,WA,JUVENILE,1,150,"Longview, WA"
CRGHOLD,Craig Holdroom,CO,HOLD,33,153,"Craig, CO"
CCHAUTX,Cross Creek Hospital,TX,HOSPITAL,0,196,"Austin, TX"
CROWGMN,Crow Wing County Jail,MN,IGSA,34,35,"Brainerd, MN"
CPPAPAZ,Crowne Plaza Phoenix Ap,AZ,HOTEL,143,145,"Phoenix, AZ"
CRYCCTX,Crystal City Corr. Center,TX,USMS IGA,55,64,"Crystal City, TX"
CASPSAC,Csp-Sacramento,CA,IGSA,0,196,"Represa, CA"
CULBETX,Culberson County Sheriff's,TX,IGSA,0,196,"Van Horn, TX"
CULPEVA,Culpeper Co. Adult Det. Center,VA,IGSA,0,196,"Culpeper, VA"
CUMBEME,Cumberland County Jail,ME,USMS IGA,0,196,"Portland, ME"
BOPCUM,Cumberland FCI,MD,BOP,0,18,"Cumberland, MD"
CURRYNM,Curry County Det Fac,NM,IGSA,0,196,"Clovis, NM"
CUSTEMT,Custer County Jail,MT,IGSA,0,196,"Miles City, MT"
GADRYJM,D. Ray James Prison,GA,BOP,0,196,"Folkston, GA"
DCDOCDC,DC Dept Of Corrections,DC,USMS IGA,0,196,"Washington, DC"
SAJHOLD,DHS/ICE/DRO,PR,STAGING,0,196,"Guaynabo, PR"
DSMCNTX,DSMC - Del Sol Medical Center,TX,HOSPITAL,120,196,"El Paso, TX"
FLDADCI,Dade Correctional Inst,FL,UNKNOWN,0,196,"Florida City, FL"
DAKOTNE,Dakota County Jail,NE,USMS IGA,15,196,"Dakota City, NE"
BOPDAL,Dalby Correctional Institute,TX,BOP,102,165,"Post, TX"
DALCOTX,Dallas County Jail-Lew Sterrett,TX,USMS IGA,102,196,"Dallas, TX"
DALHOLD,Dallas F.O. Hold,TX,HOLD,0,196,"Dallas, TX"
DAUPHPA,"Dauphin Cnty Jail, PA",PA,OTHER,0,196,"Harrisburg, PA"
DAVIDTN,Davidson Co. Sheriff Dept,TN,IGSA,0,133,"Nashville, TN"
DAWSOMT,Dawson County Jail,MT,IGSA,0,196,"Glendive, MT"
DIIHBMD,Days Inn Inner Harbor Baltimore,MD,HOTEL,0,196,"Baltimore, MD"
DEAPDMI,Dearborn Police Dept.,MI,IGSA,0,131,"Dearborn, MI"
DEKALGA,Dekalb Co Jail,GA,OTHER,14,15,"Decatur, GA"
DEKALAL,Dekalb County Detention Center,AL,USMS IGA,0,148,"Fort Payne, AL"
DEKABGA,Dekalb County Jail,GA,IGSA,0,196,"Decatur, GA"
DLAMOCA,Del Amo Psychiatric Hospital,CA,HOSPITAL,0,196,"Torrance, CA"
DLRHOLD,Del Rio DRO Hold Room,TX,HOLD,61,196,"Del Rio, TX"
DHDFNJ,Delaney Hall Detention Facility,NJ,IGSA,35,101,"Newark, NJ"
DELAWPA,Delaware Co Jail,PA,USMS IGA,82,138,"Thornton, PA"
DECCSMY,Delaware Correction Center,DE,UNKNOWN,0,196,"Smyrna, DE"
DELTACO,Delta County Jail,CO,IGSA,0,196,"Delta, CO"
DENIICO,Denver CDF II,CO,CDF,124,158,"Aurora, CO"
DENICDF,Denver Contract Det. Fac.,CO,CDF,0,196,"Aurora, CO"
DENVECO,Denver County Jail,CO,USMS IGA,0,161,"Denver, CO"
DNHMCCO,Denver Health Medical Center,CO,HOSPITAL,93,183,"Denver, CO"
DENHOLD,Denver Hold Room,CO,HOLD,0,196,"Denver, CO"
DENCICO,Denver Justice Center,CO,IGSA,0,3,"Denver, CO"
DEPCOGU,Department Of Corrections,GU,IGSA,0,135,"Mangilao, GU"
DEPYOGU,Department Of Youth Affairs,GU,JUVENILE,3,8,"Barrigada, GU"
GUDOCHG,Dept Of Corrections-Hagatna,GU,USMS IGA,8,196,"Hagatna, GU"
DSMHOLD,Des Moines Hold Room,IA,HOLD,95,196,"Des Moines, IA"
DSRTVCA,Desert Valley Hospital,CA,HOSPITAL,69,175,"Victorville, CA"
CADESVI,Desert View,CA,CDF,145,196,"Adelanto, CA"
DVHSPNV,Desert View Hospital,NV,HOSPITAL,0,196,"Pahrump, NV"
DRHCSTX,Dimmit Regional Hospital,TX,HOSPITAL,0,196,"Carrizo Springs, TX"
WIDODGE,"Dodge Corr Institute, Wau",WI,IGSA,32,51,"Waupun, WI"
