Date,Midnight population,24-hour population,Book-ins,Book-outs
2008-10-01,"32,589","33,876","1,306","1,287"
2008-10-02,"32,475","33,961","1,372","1,486"
2008-10-03,"32,036","33,762","1,287","1,726"
2008-10-04,"32,024","32,440",404,416
2008-10-05,"32,241","32,299",275,58
2008-10-06,"32,546","33,683","1,442","1,137"
2008-10-07,"32,519","33,927","1,381","1,408"
2008-10-08,"32,656","34,193","1,674","1,537"
2008-10-09,"32,189","33,913","1,257","1,724"
2008-10-10,"32,072","33,731","1,542","1,659"
2008-10-11,"31,956","32,428",356,472
2008-10-12,"32,159","32,233",277,74
2008-10-13,"32,527","32,641",482,114
2008-10-14,"32,678","34,131","1,604","1,453"
2008-10-15,"32,587","34,114","1,436","1,527"
2008-10-16,"32,419","33,992","1,405","1,573"
2008-10-17,"32,421","33,830","1,411","1,409"
2008-10-18,"32,465","32,802",381,337
2008-10-19,"32,744","32,812",347,68
2008-10-20,"32,993","34,219","1,475","1,226"
2008-10-21,"33,005","34,348","1,355","1,343"
2008-10-22,"32,954","34,455","1,450","1,501"
2008-10-23,"32,662","34,239","1,285","1,577"
2008-10-24,"32,413","33,997","1,335","1,584"
2008-10-25,"32,334","32,825",412,491
2008-10-26,"32,588","32,641",307,53
2008-10-27,"32,982","34,083","1,495","1,101"
2008-10-28,"33,111","34,570","1,588","1,459"
2008-10-29,"33,384","34,634","1,523","1,250"
2008-10-30,"33,143","34,800","1,416","1,657"
2008-10-31,"32,747","34,372","1,229","1,625"
2008-11-01,"32,721","33,079",332,358
2008-11-02,"32,958","32,975",254,17
2008-11-03,"33,262","34,397","1,439","1,135"
2008-11-04,"33,237","34,587","1,325","1,350"
2008-11-05,"33,221","34,479","1,242","1,258"
2008-11-06,"32,845","34,476","1,255","1,631"
2008-11-07,"32,298","34,036","1,191","1,738"
2008-11-08,"32,378","32,588",290,210
2008-11-09,"32,510","32,538",160,28
2008-11-10,"32,652","33,917","1,407","1,265"
2008-11-11,"32,861","33,002",350,141
2008-11-12,"33,083","34,365","1,504","1,282"
2008-11-13,"32,748","34,394","1,311","1,646"
2008-11-14,"32,616","34,171","1,423","1,555"
2008-11-15,"32,624","32,886",270,262
2008-11-16,"32,876","32,898",274,22
2008-11-17,"32,939","34,263","1,387","1,324"
2008-11-18,"32,933","34,322","1,383","1,389"
2008-11-19,"32,833","34,405","1,472","1,572"
2008-11-20,"32,556","34,216","1,383","1,660"
2008-11-21,"32,190","33,967","1,411","1,777"
2008-11-22,"32,207","32,564",374,357
2008-11-23,"32,444","32,526",319,82
2008-11-24,"32,512","33,941","1,497","1,429"
2008-11-25,"32,511","33,986","1,474","1,475"
2008-11-26,"32,336","33,836","1,325","1,500"
2008-11-27,"32,575","32,679",343,104
2008-11-28,"32,175","33,387",812,"1,212"
2008-11-29,"32,236","32,446",271,210
2008-11-30,"32,416","32,447",211,31
2008-12-01,"32,610","33,833","1,417","1,223"
2008-12-02,"32,841","34,071","1,461","1,230"
2008-12-03,"32,905","34,252","1,411","1,347"
2008-12-04,"32,619","34,203","1,298","1,584"
2008-12-05,"32,385","34,027","1,408","1,642"
2008-12-06,"32,442","32,684",299,242
2008-12-07,"32,601","32,657",215,56
2008-12-08,"32,742","34,044","1,443","1,302"
2008-12-09,"32,588","34,107","1,365","1,519"
2008-12-10,"32,740","34,014","1,426","1,274"
2008-12-11,"32,370","33,915","1,175","1,545"
2008-12-12,"32,245","33,757","1,387","1,512"
2008-12-13,"32,151","32,536",291,385
2008-12-14,"32,339","32,396",245,57
2008-12-15,"32,374","33,738","1,399","1,364"
2008-12-16,"32,476","33,899","1,525","1,423"
2008-12-17,"32,556","33,943","1,467","1,387"
2008-12-18,"32,556","33,912","1,356","1,356"
2008-12-19,"32,309","33,813","1,257","1,504"
2008-12-20,"31,915","32,668",359,753
2008-12-21,"32,023","32,072",157,49
2008-12-22,"31,756","33,380","1,357","1,624"
2008-12-23,"31,962","33,156","1,400","1,194"
2008-12-24,"31,933","33,097","1,135","1,164"
2008-12-25,"32,085","32,122",189,37
2008-12-26,"32,224","32,344",259,120
2008-12-27,"32,357","32,417",193,60
2008-12-28,"32,470","32,527",170,57
2008-12-29,"32,684","33,905","1,435","1,221"
2008-12-30,"32,558","33,846","1,162","1,288"
2008-12-31,"32,486","33,655","1,097","1,169"
2009-01-01,"32,567","32,692",206,125
2009-01-02,"32,655","33,500",933,845
2009-01-03,"32,706","32,846",191,140
2009-01-04,"32,805","32,870",164,65
2009-01-05,"33,190","34,122","1,317",932
2009-01-06,"33,033","34,359","1,169","1,326"
2009-01-07,"33,082","34,447","1,414","1,365"
2009-01-08,"32,698","34,216","1,134","1,518"
2009-01-09,"32,324","33,922","1,224","1,598"
2009-01-10,"32,313","32,570",246,257
2009-01-11,"32,430","32,537",224,107
2009-01-12,"32,667","33,833","1,403","1,166"
2009-01-13,"32,562","33,993","1,326","1,431"
2009-01-14,"32,529","33,881","1,319","1,352"
2009-01-15,"32,217","33,750","1,221","1,533"
2009-01-16,"32,121","33,559","1,342","1,438"
2009-01-17,"31,956","32,454",333,498
2009-01-18,"32,151","32,189",233,38
2009-01-19,"32,077","32,416",265,339
2009-01-20,"32,189","33,663","1,586","1,474"
2009-01-21,"32,394","33,657","1,468","1,263"
2009-01-22,"32,099","33,796","1,402","1,697"
2009-01-23,"31,980","33,527","1,428","1,547"
2009-01-24,"31,969","32,286",306,317
2009-01-25,"32,181","32,284",315,103
2009-01-26,"32,636","33,697","1,516","1,061"
2009-01-27,"32,865","34,140","1,504","1,275"
2009-01-28,"32,729","34,169","1,304","1,440"
2009-01-29,"32,761","34,108","1,379","1,347"
2009-01-30,"32,443","34,053","1,292","1,610"
2009-01-31,"32,238","32,871",428,633
2009-02-01,"32,350","32,500",262,150
2009-02-02,"32,630","33,768","1,418","1,138"
2009-02-03,"32,627","34,016","1,386","1,389"
2009-02-04,"32,600","33,974","1,347","1,374"
2009-02-05,"32,121","33,853","1,253","1,732"
2009-02-06,"31,675","33,431","1,310","1,756"
2009-02-07,"31,831","32,044",369,213
2009-02-08,"31,942","32,097",266,155
2009-02-09,"32,169","33,286","1,344","1,117"
2009-02-10,"32,118","33,441","1,272","1,323"
2009-02-11,"32,240","33,532","1,414","1,292"
2009-02-12,"31,918","33,445","1,205","1,527"
2009-02-13,"31,497","33,181","1,263","1,684"
2009-02-14,"31,465","31,832",335,367
2009-02-15,"31,657","31,695",230,38
2009-02-16,"31,693","31,960",303,267
2009-02-17,"31,856","33,245","1,552","1,389"
2009-02-18,"32,007","33,415","1,559","1,408"
2009-02-19,"31,876","33,457","1,450","1,581"
2009-02-20,"31,616","33,203","1,327","1,587"
2009-02-21,"31,631","31,994",378,363
2009-02-22,"31,850","31,933",302,83
2009-02-23,"32,336","33,311","1,461",975
2009-02-24,"32,461","33,903","1,567","1,442"
2009-02-25,"32,715","33,894","1,433","1,179"
2009-02-26,"32,489","34,159","1,444","1,670"
2009-02-27,"32,199","33,925","1,436","1,726"
2009-02-28,"32,150","32,537",338,387
2009-03-01,"32,337","32,399",249,62
2009-03-02,"32,768","33,704","1,367",936
2009-03-03,"32,572","34,264","1,496","1,692"
2009-03-04,"32,851","34,047","1,475","1,196"
2009-03-05,"32,367","34,039","1,188","1,672"
2009-03-06,"32,138","33,747","1,380","1,609"
2009-03-07,"32,139","32,439",301,300
2009-03-08,"32,344","32,398",259,54
2009-03-09,"32,760","33,751","1,407",991
2009-03-10,"32,586","34,158","1,398","1,572"
2009-03-11,"32,593","33,999","1,413","1,406"
2009-03-12,"32,451","33,942","1,349","1,491"
2009-03-13,"31,995","33,744","1,293","1,749"
2009-03-14,"31,966","32,327",332,361
2009-03-15,"31,987","32,187",221,200
2009-03-16,"32,520","33,446","1,459",926
2009-03-17,"32,140","33,818","1,298","1,678"
2009-03-18,"32,366","33,431","1,291","1,065"
2009-03-19,"32,173","33,707","1,341","1,534"
2009-03-20,"31,986","33,518","1,345","1,532"
2009-03-21,"32,012","32,305",319,293
2009-03-22,"32,040","32,216",204,176
2009-03-23,"32,477","33,385","1,345",908
2009-03-24,"32,607","33,946","1,469","1,339"
2009-03-25,"32,550","34,053","1,446","1,503"
2009-03-26,"32,131","33,857","1,307","1,726"
2009-03-27,"32,041","33,477","1,346","1,436"
2009-03-28,"32,086","32,379",338,293
2009-03-29,"32,179","32,353",267,174
2009-03-30,"32,750","33,691","1,512",941
2009-03-31,"32,624","34,100","1,350","1,476"
2009-04-01,"32,588","34,105","1,481","1,517"
2009-04-02,"32,268","33,795","1,207","1,527"
2009-04-03,"32,130","33,655","1,387","1,525"
2009-04-04,"32,117","32,396",266,279
2009-04-05,"32,275","32,326",209,51
2009-04-06,"32,713","33,654","1,379",941
2009-04-07,"32,773","34,274","1,561","1,501"
2009-04-08,"32,983","34,112","1,339","1,129"
2009-04-09,"32,877","34,152","1,169","1,275"
2009-04-10,"33,031","34,117","1,240","1,086"
2009-04-11,"32,970","33,252",221,282
2009-04-12,"33,135","33,179",209,44
2009-04-13,"32,854","34,385","1,250","1,531"
2009-04-14,"32,900","34,245","1,391","1,345"
2009-04-15,"32,639","34,349","1,449","1,710"
2009-04-16,"32,304","33,880","1,241","1,576"
2009-04-17,"32,034","33,595","1,291","1,561"
2009-04-18,"32,022","32,346",312,324
2009-04-19,"32,199","32,248",226,49
2009-04-20,"32,294","33,569","1,370","1,275"
2009-04-21,"32,192","33,779","1,485","1,587"
2009-04-22,"32,156","33,560","1,368","1,404"
2009-04-23,"31,715","33,494","1,338","1,779"
2009-04-24,"31,525","33,087","1,372","1,562"
2009-04-25,"31,460","31,836",311,376
2009-04-26,"31,648","31,664",204,16
2009-04-27,"31,728","32,967","1,319","1,239"
2009-04-28,"31,847","33,157","1,429","1,310"
2009-04-29,"31,668","33,225","1,378","1,557"
2009-04-30,"31,336","32,951","1,283","1,615"
2009-05-01,"31,394","32,725","1,389","1,331"
2009-05-02,"31,437","31,698",304,261
2009-05-03,"31,639","31,666",229,27
2009-05-04,"31,735","33,040","1,401","1,305"
2009-05-05,"31,546","33,118","1,383","1,572"
2009-05-06,"31,606","32,924","1,378","1,318"
2009-05-07,"31,377","32,979","1,373","1,602"
2009-05-08,"31,238","32,770","1,393","1,532"
2009-05-09,"31,351","31,565",327,214
2009-05-10,"31,513","31,560",209,47
2009-05-11,"31,796","32,924","1,411","1,128"
2009-05-12,"31,923","33,364","1,568","1,441"
2009-05-13,"32,064","33,300","1,377","1,236"
2009-05-14,"31,952","33,327","1,263","1,375"
2009-05-15,"31,496","33,191","1,239","1,695"
2009-05-16,"31,597","31,794",298,197
2009-05-17,"31,652","31,813",216,161
2009-05-18,"31,816","33,028","1,376","1,212"
2009-05-19,"31,970","33,306","1,490","1,336"
2009-05-20,"31,806","33,340","1,370","1,534"
2009-05-21,"31,628","33,136","1,330","1,508"
2009-05-22,"31,504","33,054","1,426","1,550"
2009-05-23,"31,488","31,867",363,379
2009-05-24,"31,661","31,689",201,28
2009-05-25,"31,778","31,928",267,150
2009-05-26,"32,098","33,344","1,566","1,246"
2009-05-27,"32,261","33,595","1,497","1,334"
2009-05-28,"32,038","33,720","1,459","1,682"
2009-05-29,"32,121","33,373","1,335","1,252"
2009-05-30,"32,189","32,565",444,376
2009-05-31,"32,378","32,451",262,73
2009-06-01,"32,886","33,747","1,369",861
2009-06-02,"32,899","34,439","1,553","1,540"
2009-06-03,"32,935","34,203","1,304","1,268"
2009-06-04,"32,631","34,174","1,239","1,543"
2009-06-05,"32,424","33,965","1,334","1,541"
2009-06-06,"32,293","32,723",299,430
2009-06-07,"32,414","32,465",172,51
2009-06-08,"32,581","33,777","1,363","1,196"
2009-06-09,"32,232","33,949","1,368","1,717"
2009-06-10,"32,230","33,528","1,296","1,298"
2009-06-11,"31,915","33,421","1,191","1,506"
2009-06-12,"31,742","33,160","1,245","1,418"
2009-06-13,"31,658","31,973",231,315
2009-06-14,"31,836","31,859",201,23
2009-06-15,"32,094","33,076","1,240",982
2009-06-16,"32,179","33,522","1,428","1,343"
2009-06-17,"32,224","33,472","1,293","1,248"
2009-06-18,"31,934","33,444","1,220","1,510"
2009-06-19,"31,761","33,149","1,215","1,388"
2009-06-20,"31,960","32,022",261,62
2009-06-21,"32,097","32,122",162,25
2009-06-22,"32,347","33,477","1,380","1,130"
2009-06-23,"32,274","33,741","1,394","1,467"
2009-06-24,"32,098","33,534","1,260","1,436"
2009-06-25,"31,861","33,397","1,299","1,536"
2009-06-26,"31,564","33,077","1,216","1,513"
2009-06-27,"31,678","31,884",320,206
2009-06-28,"31,815","31,921",243,106
2009-06-29,"32,124","33,194","1,379","1,070"
2009-06-30,"32,200","33,619","1,495","1,419"
2009-07-01,"32,146","33,459","1,259","1,313"
2009-07-02,"31,921","33,633","1,487","1,712"
2009-07-03,"31,839","32,251",330,412
2009-07-04,"31,996","32,095",256,99
2009-07-05,"32,165","32,205",209,40
2009-07-06,"32,391","33,507","1,342","1,116"
2009-07-07,"32,410","33,759","1,368","1,349"
2009-07-08,"32,396","33,718","1,308","1,322"
2009-07-09,"32,150","33,755","1,359","1,605"
2009-07-10,"32,056","33,558","1,408","1,502"
2009-07-11,"32,155","32,323",267,168
2009-07-12,"32,369","32,391",236,22
2009-07-13,"32,449","33,727","1,358","1,278"
2009-07-14,"32,402","33,829","1,380","1,427"
2009-07-15,"32,467","33,786","1,384","1,319"
2009-07-16,"32,137","33,672","1,205","1,535"
2009-07-17,"31,972","33,500","1,363","1,528"
2009-07-18,"31,734","32,181",209,447
2009-07-19,"31,960","31,977",243,17
2009-07-20,"32,330","33,262","1,302",932
2009-07-21,"32,438","33,767","1,437","1,329"
2009-07-22,"32,193","33,649","1,211","1,456"
2009-07-23,"31,798","33,500","1,307","1,702"
2009-07-24,"31,516","33,154","1,356","1,638"
2009-07-25,"31,355","31,797",281,442
2009-07-26,"31,539","31,580",225,41
2009-07-27,"31,840","32,940","1,401","1,100"
2009-07-28,"31,684","33,223","1,383","1,539"
2009-07-29,"31,410","32,905","1,221","1,495"
2009-07-30,"31,099","32,693","1,283","1,594"
2009-07-31,"30,664","32,336","1,237","1,672"
2009-08-01,"30,591","30,894",230,303
2009-08-02,"30,792","30,810",219,18
2009-08-03,"31,246","32,120","1,328",874
2009-08-04,"31,208","32,590","1,344","1,382"
2009-08-05,"31,364","32,502","1,294","1,138"
2009-08-06,"31,100","32,531","1,167","1,431"
2009-08-07,"31,162","32,282","1,182","1,120"
2009-08-08,"31,235","31,411",249,176
2009-08-09,"31,359","31,413",178,54
2009-08-10,"31,804","32,679","1,320",875
2009-08-11,"31,678","33,128","1,324","1,450"
2009-08-12,"31,590","32,935","1,257","1,345"
2009-08-13,"31,259","32,777","1,187","1,518"
2009-08-14,"30,964","32,522","1,263","1,558"
2009-08-15,"30,993","31,261",297,268
2009-08-16,"31,168","31,190",197,22
2009-08-17,"31,451","32,555","1,387","1,104"
2009-08-18,"31,502","32,851","1,400","1,349"
2009-08-19,"31,378","32,819","1,317","1,441"
2009-08-20,"31,298","32,648","1,270","1,350"
2009-08-21,"30,933","32,505","1,207","1,572"
2009-08-22,"30,964","31,197",264,233
2009-08-23,"31,144","31,173",209,29
2009-08-24,"31,504","32,485","1,341",981
2009-08-25,"31,474","32,982","1,478","1,508"
2009-08-26,"31,250","32,785","1,311","1,535"
2009-08-27,"31,014","32,536","1,286","1,522"
2009-08-28,"30,628","32,194","1,180","1,566"
2009-08-29,"30,699","30,950",322,251
2009-08-30,"30,998","31,024",325,26
2009-08-31,"31,304","32,351","1,353","1,047"
2009-09-01,"31,262","32,687","1,383","1,425"
2009-09-02,"31,148","32,626","1,364","1,478"
2009-09-03,"31,057","32,573","1,425","1,516"
2009-09-04,"30,800","32,410","1,353","1,610"
2009-09-05,"30,907","31,178",378,271
2009-09-06,"31,233","31,267",360,34
2009-09-07,"31,291","31,513",280,222
2009-09-08,"31,633","32,789","1,498","1,156"
2009-09-09,"31,628","32,995","1,362","1,367"
2009-09-10,"31,397","33,066","1,438","1,669"
2009-09-11,"31,106","32,685","1,288","1,579"
2009-09-12,"31,119","31,335",229,216
2009-09-13,"31,304","31,331",212,27
2009-09-14,"31,610","32,797","1,493","1,187"
2009-09-15,"31,743","33,068","1,458","1,325"
2009-09-16,"31,743","33,127","1,384","1,384"
2009-09-17,"31,463","32,905","1,162","1,442"
2009-09-18,"31,219","32,648","1,185","1,429"
2009-09-19,"31,321","31,503",284,182
2009-09-20,"31,425","31,526",205,101
2009-09-21,"31,739","32,746","1,321","1,007"
2009-09-22,"31,681","33,020","1,281","1,339"
2009-09-23,"31,755","32,933","1,252","1,178"
2009-09-24,"31,521","33,046","1,291","1,525"
2009-09-25,"31,168","32,757","1,236","1,589"
2009-09-26,"31,109","31,389",221,280
2009-09-27,"31,286","31,305",196,19
2009-09-28,"31,581","32,566","1,280",985
2009-09-29,"31,580","33,011","1,430","1,431"
2009-09-30,"31,440","32,940","1,360","1,500"
2009-10-01,"31,174","32,715","1,275","1,541"
2009-10-02,"30,865","32,469","1,295","1,604"
2009-10-03,"30,993","31,183",318,190
2009-10-04,"31,230","31,244",251,14
2009-10-05,"31,415","32,535","1,305","1,120"
2009-10-06,"31,239","32,637","1,222","1,398"
2009-10-07,"31,242","32,504","1,265","1,262"
2009-10-08,"30,835","32,467","1,225","1,632"
2009-10-09,"30,815","32,229","1,394","1,414"
2009-10-10,"30,916","31,100",285,184
2009-10-11,"31,116","31,137",221,21
2009-10-12,"31,171","31,425",309,254
2009-10-13,"31,577","32,708","1,537","1,131"
2009-10-14,"31,496","32,940","1,363","1,444"
2009-10-15,"31,279","32,659","1,163","1,380"
2009-10-16,"31,413","32,748","1,469","1,335"
2009-10-17,"31,383","31,706",293,323
2009-10-18,"31,566","31,654",271,88
2009-10-19,"31,617","32,866","1,300","1,249"
2009-10-20,"31,663","32,972","1,355","1,309"
2009-10-21,"31,525","32,928","1,265","1,403"
2009-10-22,"31,062","32,623","1,098","1,561"
2009-10-23,"30,817","32,263","1,201","1,446"
2009-10-24,"30,900","31,038",221,138
2009-10-25,"31,124","31,142",242,18
2009-10-26,"31,342","32,431","1,307","1,089"
2009-10-27,"31,174","32,672","1,330","1,498"
2009-10-28,"31,133","32,444","1,270","1,311"
2009-10-29,"30,744","32,379","1,246","1,635"
2009-10-30,"30,622","31,963","1,219","1,341"
2009-10-31,"30,596","30,860",238,264
2009-11-01,"30,811","30,823",227,12
2009-11-02,"31,065","32,029","1,218",964
2009-11-03,"30,861","32,283","1,218","1,422"
2009-11-04,"30,791","32,076","1,215","1,285"
2009-11-05,"30,466","32,057","1,266","1,591"
2009-11-06,"30,218","31,649","1,183","1,431"
2009-11-07,"30,334","30,502",284,168
2009-11-08,"30,502","30,520",186,18
2009-11-09,"30,395","31,744","1,242","1,349"
2009-11-10,"30,318","31,856","1,461","1,538"
2009-11-11,"30,361","30,685",367,324
2009-11-12,"30,104","31,743","1,382","1,639"
2009-11-13,"29,710","31,336","1,232","1,626"
2009-11-14,"29,725","29,901",191,176
2009-11-15,"29,897","29,926",201,29
2009-11-16,"29,962","31,169","1,272","1,207"
2009-11-17,"29,804","31,275","1,313","1,471"
2009-11-18,"29,596","31,000","1,196","1,404"
2009-11-19,"29,284","30,882","1,286","1,598"
2009-11-20,"28,963","30,463","1,179","1,500"
2009-11-21,"29,006","29,243",280,237
2009-11-22,"29,154","29,171",165,17
2009-11-23,"29,025","30,531","1,377","1,506"
2009-11-24,"28,975","30,326","1,301","1,351"
2009-11-25,"28,749","30,285","1,310","1,536"
2009-11-26,"28,865","28,959",210,94
2009-11-27,"28,822","29,714",849,892
2009-11-28,"28,828","28,992",170,164
2009-11-29,"28,979","29,006",178,27
2009-11-30,"29,243","30,247","1,268","1,004"
2009-12-01,"29,048","30,398","1,155","1,350"
2009-12-02,"28,820","30,236","1,188","1,416"
2009-12-03,"28,528","29,989","1,169","1,461"
2009-12-04,"28,279","29,749","1,221","1,470"
2009-12-05,"28,262","28,503",224,241
2009-12-06,"28,396","28,409",147,13
2009-12-07,"28,703","29,652","1,256",949
2009-12-08,"28,742","30,003","1,300","1,261"
2009-12-09,"28,718","30,012","1,270","1,294"
2009-12-10,"28,479","29,820","1,102","1,341"
2009-12-11,"28,294","29,711","1,232","1,417"
2009-12-12,"28,382","28,546",252,164
2009-12-13,"28,500","28,514",132,14
2009-12-14,"28,873","29,822","1,322",949
2009-12-15,"28,519","30,100","1,227","1,581"
2009-12-16,"28,294","29,691","1,172","1,397"
2009-12-17,"28,051","29,398","1,104","1,347"
2009-12-18,"27,595","29,196","1,145","1,601"
2009-12-19,"27,681","27,830",235,149
2009-12-20,"27,826","27,861",180,35
2009-12-21,"27,868","29,067","1,241","1,199"
2009-12-22,"27,815","29,114","1,246","1,299"
2009-12-23,"27,680","28,986","1,171","1,306"
2009-12-24,"27,745","28,355",675,610
2009-12-25,"27,855","27,912",167,57
2009-12-26,"27,971","28,017",162,46
2009-12-27,"28,016","28,074",103,58
2009-12-28,"28,163","29,235","1,219","1,072"
2009-12-29,"28,066","29,188","1,025","1,122"
2009-12-30,"28,004","29,052",986,"1,048"
2009-12-31,"28,040","28,897",893,857
2010-01-01,"28,168","28,196",156,28
2010-01-02,"28,315","28,323",155,8
2010-01-03,"28,397","28,451",136,54
2010-01-04,"28,796","29,525","1,128",729
2010-01-05,"28,747","30,020","1,224","1,273"
2010-01-06,"28,776","29,978","1,231","1,202"
2010-01-07,"28,584","29,905","1,129","1,321"
2010-01-08,"28,074","29,607","1,023","1,533"
2010-01-09,"28,158","28,298",224,140
2010-01-10,"28,266","28,314",156,48
2010-01-11,"28,495","29,446","1,180",951
2010-01-12,"28,444","29,718","1,223","1,274"
2010-01-13,"28,270","29,586","1,142","1,316"
2010-01-14,"27,979","29,316","1,046","1,337"
2010-01-15,"27,731","29,135","1,156","1,404"
2010-01-16,"27,785","27,930",199,145
2010-01-17,"27,869","27,931",146,62
2010-01-18,"27,976","28,055",186,79
2010-01-19,"28,307","29,309","1,333","1,002"
2010-01-20,"28,461","29,645","1,338","1,184"
2010-01-21,"28,341","29,694","1,233","1,353"
2010-01-22,"28,304","29,575","1,234","1,271"
2010-01-23,"28,339","28,557",253,218
2010-01-24,"28,458","28,517",178,59
2010-01-25,"28,612","29,746","1,288","1,134"
2010-01-26,"28,546","29,972","1,360","1,426"
2010-01-27,"28,574","29,854","1,308","1,280"
2010-01-28,"28,318","29,822","1,248","1,504"
2010-01-29,"28,004","29,427","1,109","1,423"
2010-01-30,"27,960","28,209",205,249
2010-01-31,"28,084","28,134",174,50
2010-02-01,"28,408","29,401","1,317",993
2010-02-02,"28,537","29,672","1,264","1,135"
2010-02-03,"28,359","29,754","1,217","1,395"
2010-02-04,"28,224","29,560","1,201","1,336"
2010-02-05,"27,771","29,362","1,138","1,591"
2010-02-06,"27,919","28,026",255,107
2010-02-07,"28,039","28,076",157,37
2010-02-08,"28,243","29,206","1,167",963
2010-02-09,"28,290","29,579","1,336","1,289"
2010-02-10,"28,172","29,361","1,071","1,189"
2010-02-11,"27,964","29,272","1,100","1,308"
2010-02-12,"28,004","29,195","1,231","1,191"
2010-02-13,"28,005","28,245",241,240
2010-02-14,"28,145","28,207",202,62
2010-02-15,"28,028","28,373",228,345
2010-02-16,"28,313","29,471","1,443","1,158"
2010-02-17,"28,437","29,729","1,416","1,292"
2010-02-18,"28,319","29,667","1,230","1,348"
2010-02-19,"28,155","29,475","1,156","1,320"
2010-02-20,"28,294","28,491",336,197
2010-02-21,"28,397","28,504",210,107
2010-02-22,"28,517","29,741","1,344","1,224"
2010-02-23,"28,680","29,968","1,451","1,288"
2010-02-24,"28,649","29,952","1,272","1,303"
2010-02-25,"28,389","29,880","1,231","1,491"
2010-02-26,"28,380","29,592","1,203","1,212"
2010-02-27,"28,438","28,618",238,180
2010-02-28,"28,612","28,644",206,32
2010-03-01,"28,921","29,977","1,365","1,056"
2010-03-02,"28,989","30,336","1,415","1,347"
2010-03-03,"29,098","30,410","1,421","1,312"
2010-03-04,"28,928","30,373","1,275","1,445"
2010-03-05,"29,005","30,294","1,366","1,289"
2010-03-06,"29,088","29,300",295,212
2010-03-07,"29,258","29,284",196,26
2010-03-08,"29,436","30,674","1,416","1,238"
2010-03-09,"29,434","30,911","1,475","1,477"
2010-03-10,"29,362","30,755","1,321","1,393"
2010-03-11,"29,154","30,704","1,342","1,550"
2010-03-12,"29,079","30,525","1,371","1,446"
2010-03-13,"29,183","29,429",350,246
2010-03-14,"29,282","29,346",163,64
2010-03-15,"29,787","30,677","1,395",890
2010-03-16,"29,951","31,158","1,371","1,207"
2010-03-17,"30,068","31,496","1,545","1,428"
2010-03-18,"29,886","31,349","1,281","1,463"
2010-03-19,"29,913","31,234","1,348","1,321"
2010-03-20,"30,027","30,184",271,157
2010-03-21,"30,229","30,282",255,53
2010-03-22,"30,603","31,595","1,366",992
2010-03-23,"30,614","31,971","1,368","1,357"
2010-03-24,"30,654","32,104","1,490","1,450"
2010-03-25,"30,610","32,007","1,353","1,397"
2010-03-26,"30,263","32,023","1,413","1,760"
2010-03-27,"30,416","30,607",344,191
2010-03-28,"30,585","30,645",229,60
2010-03-29,"30,805","31,945","1,360","1,140"
2010-03-30,"31,126","32,266","1,461","1,140"
2010-03-31,"31,446","32,493","1,367","1,047"
2010-04-01,"31,554","32,736","1,290","1,182"
2010-04-02,"31,719","32,874","1,320","1,155"
2010-04-03,"31,817","31,971",252,154
2010-04-04,"31,966","32,006",189,40
2010-04-05,"32,354","33,296","1,330",942
2010-04-06,"32,243","33,729","1,375","1,486"
2010-04-07,"32,226","33,643","1,400","1,417"
2010-04-08,"32,015","33,644","1,418","1,629"
2010-04-09,"31,551","33,318","1,303","1,767"
2010-04-10,"31,647","31,874",323,227
2010-04-11,"31,833","31,882",235,49
2010-04-12,"31,998","33,200","1,367","1,202"
2010-04-13,"32,114","33,538","1,540","1,424"
2010-04-14,"32,080","33,544","1,430","1,464"
2010-04-15,"31,698","33,495","1,415","1,797"
2010-04-16,"31,364","32,971","1,273","1,607"
2010-04-17,"31,517","31,624",260,107
2010-04-18,"31,747","31,760",243,13
2010-04-19,"32,008","33,083","1,336","1,075"
2010-04-20,"32,006","33,377","1,369","1,371"
2010-04-21,"31,851","33,387","1,381","1,536"
2010-04-22,"31,510","33,117","1,266","1,607"
2010-04-23,"31,090","32,767","1,257","1,677"
2010-04-24,"31,061","31,370",280,309
2010-04-25,"31,209","31,254",193,45
2010-04-26,"31,613","32,624","1,415","1,011"
2010-04-27,"31,727","33,193","1,580","1,466"
2010-04-28,"31,741","33,290","1,563","1,549"
2010-04-29,"31,459","33,236","1,495","1,777"
2010-04-30,"31,484","33,066","1,607","1,582"
2010-05-01,"31,749","31,992",508,243
2010-05-02,"31,969","32,011",262,42
2010-05-03,"32,417","33,381","1,412",964
2010-05-04,"32,250","33,849","1,432","1,599"
2010-05-05,"32,361","33,770","1,520","1,409"
2010-05-06,"32,074","33,710","1,349","1,636"
2010-05-07,"31,758","33,505","1,431","1,747"
2010-05-08,"31,858","32,128",370,270
2010-05-09,"32,185","32,211",353,26
2010-05-10,"32,389","33,626","1,441","1,237"
2010-05-11,"32,446","33,910","1,521","1,464"
2010-05-12,"32,614","34,084","1,638","1,470"
2010-05-13,"32,475","34,093","1,479","1,618"
2010-05-14,"32,299","33,961","1,486","1,662"
2010-05-15,"32,352","32,629",330,277
2010-05-16,"32,556","32,581",229,25
2010-05-17,"32,814","33,955","1,399","1,141"
2010-05-18,"33,142","34,299","1,485","1,157"
2010-05-19,"33,110","34,708","1,566","1,598"
2010-05-20,"32,887","34,445","1,335","1,558"
2010-05-21,"32,631","34,202","1,315","1,571"
2010-05-22,"32,737","32,938",307,201
2010-05-23,"32,972","33,005",268,33
